full_name,short_name,time_series
ISO3,iso3,-
HDR Country Name,country,-
Human Development Groups,hdicode,-
UNDP Developeing Regions,region,-
HDI,HDI,HDI
HDI Rank,hdi_rank,2021
Human Development Index (value),hdi,1990-2021
Life Expectancy at Birth (years),le,1990-2021
Expected Years of Schooling (years),eys,1990-2021
Mean Years of Schooling (years),mys,1990-2021
Gross National Income Per Capita (2017 PPP$),gnipc,1990-2021
GDI,GDI,GDI
GDI Group,gdi_group,2021
Gender Development Index (value),gdi,1990-2021
HDI female,hdi_f,1990-2021
"Life Expectancy at Birth, female (years)",le_f,1990-2021
"Expected Years of Schooling, female (years)",eys_f,1990-2021
"Mean Years of Schooling, female (years)",mys_f,1990-2021
"Gross National Income Per Capita, female (2017 PPP$)",gni_pc_f,1990-2021
HDI male,hdi_m,1990-2021
"Life Expectancy at Birth, male (years)",le_m,1990-2021
"Expected Years of Schooling, male (years)",eys_m,1990-2021
"Mean Years of Schooling, male (years)",mys_m,1990-2021
"Gross National Income Per Capita, male (2017 PPP$)",gni_pc_m,1990-2021
IHDI,IHDI,IHDI
Inequality-adjusted Human Development Index (value),ihdi,2010-2021
Coefficient of human inequality,coef_ineq,2010-2021
Overall loss (%),loss,2010-2021
Inequality in life expectancy,ineq_le,2010-2021
Inequality in eduation,ineq_edu,2010-2021
Inequality in income,ineq_inc,2010-2021
GII,GII,GII
GII Rank,gii_rank,2021
Gender Inequality Index (value),gii,1990-2021
"Maternal Mortality Ratio (deaths per 100,000 live births)",mmr,1990-2021
"Adolescent Birth Rate (births per 1,000 women ages 15-19)",abr,1990-2021
"Population with at least some secondary education, female (% ages 25 and older)",se_f,1990-2021
"Population with at least some secondary education, male (% ages 25 and older)",se_m,1990-2021
"Share of seats in parliament, female (% held by women)",pr_f,1990-2021
"Share of seats in parliament, male (% held by men)",pr_m,1990-2021
"Labour force participation rate, female (% ages 15 and older)",lfpr_f,1990-2021
"Labour force participation rate, male (% ages 15 and older)",lfpr_m,1990-2021
PHDI,PHDI,PHDI
Difference from HDI rank,rankdiff_hdi_phdi,2021
Planetary pressures–adjusted Human Development Index (value),phdi,1990-2021
Difference from HDI value (%),diff_hdi_phdi,1990-2021
Carbon dioxide emissions per capita (production) (tonnes),co2_prod,1990-2021
Material footprint per capita (tonnes),mf,1990-2021
