,DATE,population,gdp,unemployment_rate,snap_recipients,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,513.702,,9.8916666666666667,20675.250000000000,,80587,,3.85,AK
1,1985-01-01,532.495,,9.8416666666666667,23713.583333333333,,83754,,3.85,AK
2,1986-01-01,544.268,,11.1000000000000000,29079.916666666667,,74205,,3.85,AK
3,1987-01-01,539.309,,10.1416666666666667,31283.000000000000,,76032,,3.85,AK
4,1988-01-01,541.983,,8.7333333333333333,27715.000000000000,,73094,,3.85,AK
5,1989-01-01,547.159,,7.1000000000000000,25718.083333333333,,76174,10.6,3.85,AK
6,1990-01-01,553.12,,7.2583333333333333,25684.500000000000,,79231,.,3.85,AK
7,1991-01-01,569.273,,8.3416666666666667,32205.416666666667,,79006,.,4.3,AK
8,1992-01-01,587.073,,8.8583333333333333,39186.916666666667,,79348,.,4.75,AK
9,1993-01-01,596.993,,7.8000000000000000,44013.166666666667,,79487,11.2,4.75,AK
10,1994-01-01,600.624,,7.6166666666666667,44188.500000000000,,82279,.,4.75,AK
11,1995-01-01,601.345,,7.3250000000000000,45303.500000000000,,84925,10.1,4.75,AK
12,1996-01-01,604.918,,7.4250000000000000,46545.500000000000,,91045,10.6,4.75,AK
13,1997-01-01,608.846,,6.9333333333333333,44548.583333333333,,81039,11.2,5.25,AK
14,1998-01-01,615.205,,6.3250000000000000,42284.583333333333,,84451,10.8,5.65,AK
15,1999-01-01,619.5,,6.4083333333333333,40602.083333333333,,83839,8.8,5.65,AK
16,2000-01-01,627.963,,6.3166666666666667,37314.666666666667,,83377,8.5,5.65,AK
17,2001-01-01,633.714,,6.2833333333333333,40628.750000000000,,87996,8.7,5.65,AK
18,2002-01-01,642.337,,7.1666666666666667,47798.083333333333,,79700,9.3,5.65,AK
19,2003-01-01,648.414,,7.6833333333333333,47619.083333333333,,76547,9.8,7.15,AK
20,2004-01-01,659.286,,7.4166666666666667,53084.666666666667,,79172,10.0,7.15,AK
21,2005-01-01,666.946,45657.050000000000,6.9333333333333333,55983.916666666667,,77729,10.8,7.15,AK
22,2006-01-01,675.302,49190.175000000000,6.6333333333333333,56984.833333333333,26.9,75999,10.9,7.15,AK
23,2007-01-01,680.3,51720.950000000000,6.2583333333333333,56010.000000000000,26.0,82515,9.8,7.15,AK
24,2008-01-01,687.455,51252.075000000000,6.4750000000000000,57996.750000000000,27.3,80720,9.2,7.15,AK
25,2009-01-01,698.895,56215.125000000000,7.9833333333333333,67438.916666666667,26.6,77982,9.1,7.15,AK
26,2010-01-01,713.982,54601.500000000000,8.1333333333333333,78728.750000000000,27.9,72039,11.0,7.75,AK
27,2011-01-01,722.349,55280.350000000000,7.7333333333333333,88329.583333333333,26.4,69334,10.8,7.75,AK
28,2012-01-01,730.81,58283.650000000000,7.2500000000000000,91625.166666666667,28.0,75246,10.8,7.75,AK
29,2013-01-01,737.626,55354.300000000000,6.9916666666666667,90709.916666666667,28.0,84427,10.1,7.75,AK
30,2014-01-01,737.075,54188.225000000000,6.7416666666666667,85339.500000000000,28.0,77473,11.4,7.75,AK
31,2015-01-01,738.43,54740.850000000000,6.2750000000000000,81389.500000000000,29.7,85898,10.4,8.75,AK
32,2016-01-01,742.575,54246.625000000000,6.6000000000000000,83385.500000000000,29.6,85494,9.9,9.75,AK
33,2017-01-01,740.983,54278.675000000000,6.5083333333333333,93798.500000000000,28.8,86196,11,9.8,AK
34,2018-01-01,736.624,53326.975000000000,6.0416666666666667,87295.250000000000,30.2,74161,11.1,9.84,AK
35,2019-01-01,733.603,53433.800000000000,5.5916666666666667,83984.666666666667,30.2,83079,10.2,9.89,AK
36,2020-01-01,732.923,50705.175000000000,8.3083333333333333,82333.000000000000,31.9,78236,9.6,10.19,AK
37,2021-01-01,734.182,50869.400000000000,6.4333333333333333,.,32.8,81133,10.8,10.34,AK
