,DATE,population,gdp,unemployment_rate,snap_recipients,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,2319.768,,8.5333333333333333,285747.666666666667,,39038,,2.7,AR
1,1985-01-01,2327.046,,8.4916666666666667,247358.833333333333,,42021,,2.7,AR
2,1986-01-01,2331.984,,8.5416666666666667,242095.916666666667,,44325,,2.7,AR
3,1987-01-01,2342.355,,8.1416666666666667,236292.583333333333,,43073,,2.7,AR
4,1988-01-01,2342.656,,7.7000000000000000,229511.833333333333,,44541,,3.25,AR
5,1989-01-01,2346.358,,7.0416666666666667,227908.583333333333,,45343,17.9,3.25,AR
6,1990-01-01,2354.343,,6.8750000000000000,239515.750000000000,,45940,.,3.25,AR
7,1991-01-01,2370.666,,7.3083333333333333,263113.500000000000,,45590,.,3.35,AR
8,1992-01-01,2394.098,,7.0000000000000000,280935.416666666667,,45333,.,3.65,AR
9,1993-01-01,2423.743,,6.1333333333333333,285149.333333333333,,42657,18.9,3.65,AR
10,1994-01-01,2450.605,,5.4416666666666667,280091.500000000000,,46366,.,4.25,AR
11,1995-01-01,2480.121,,4.8666666666666667,270909.000000000000,,45716,18.2,4.25,AR
12,1996-01-01,2504.858,,5.1666666666666667,274982.166666666667,,46788,17.6,4.25,AR
13,1997-01-01,2524.007,,5.1083333333333333,261421.833333333333,,44175,17.5,4.25,AR
14,1998-01-01,2538.202,,5.0500000000000000,255421.333333333333,,46089,16.4,5.15,AR
15,1999-01-01,2551.373,,4.5333333333333333,251255.250000000000,,48418,15.1,5.15,AR
16,2000-01-01,2678.588,,4.1750000000000000,246862.750000000000,,46853,15.0,5.15,AR
17,2001-01-01,2691.571,,4.7583333333333333,262971.666666666667,,51143,15.9,5.15,AR
18,2002-01-01,2705.927,,5.3333333333333333,289922.583333333333,,48911,16.3,5.15,AR
19,2003-01-01,2724.816,,5.7583333333333333,317268.416666666667,,47257,16.0,5.15,AR
20,2004-01-01,2749.686,,5.5833333333333333,356893.166666666667,,50301,15.6,5.15,AR
21,2005-01-01,2781.097,105979.950000000000,5.2583333333333333,376766.416666666667,,50981,17.2,5.15,AR
22,2006-01-01,2821.761,108460.575000000000,5.2500000000000000,383219.000000000000,18.2,49918,17.3,5.15,AR
23,2007-01-01,2848.65,107606.100000000000,5.3916666666666667,377712.166666666667,19.3,53438,17.6,6.25,AR
24,2008-01-01,2874.554,106536.475000000000,5.4416666666666667,382251.083333333333,18.8,49936,17.3,6.25,AR
25,2009-01-01,2896.843,102996.600000000000,7.7250000000000000,427840.333333333333,18.9,46252,18.5,6.25,AR
26,2010-01-01,2921.998,105662.025000000000,7.8583333333333333,474072.500000000000,19.5,48053,18.7,6.25,AR
27,2011-01-01,2941.038,107932.550000000000,7.9083333333333333,490875.916666666667,20.3,49862,19.3,6.25,AR
28,2012-01-01,2952.876,108492.050000000000,7.2666666666666667,503270.916666666667,21.0,46128,19.6,6.25,AR
29,2013-01-01,2960.459,110752.400000000000,7.0416666666666667,502552.583333333333,20.6,45872,19.4,6.25,AR
30,2014-01-01,2968.759,111734.500000000000,5.9000000000000000,487447.583333333333,21.4,51461,18.7,6.25,AR
31,2015-01-01,2979.732,112350.975000000000,4.9500000000000000,461715.833333333333,21.8,48944,18.7,7.5,AR
32,2016-01-01,2991.815,112798.125000000000,3.9833333333333333,412663.833333333333,22.4,51830,17.2,8.0,AR
33,2017-01-01,3003.855,113850.250000000000,3.7416666666666667,384349.416666666667,23.4,54988,16.3,8.5,AR
34,2018-01-01,3012.161,115885.225000000000,3.6583333333333333,367410.416666666667,23.3,53712,16.8,8.5,AR
35,2019-01-01,3020.985,117126.175000000000,3.4916666666666667,351097.833333333333,23.3,57799,16,9.25,AR
36,2020-01-01,3014.195,117268.150000000000,6.2000000000000000,372865.833333333333,24.9,53148,15.2,10.0,AR
37,2021-01-01,3028.122,123347.325000000000,4.0750000000000000,.,25.3,50784,16.0,11.0,AR
