,DATE,population,gdp,unemployment_rate,snap_recipients,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,3067.135,,4.9583333333333333,220185.333333333333,,53362,,,AZ
1,1985-01-01,3183.538,,6.3583333333333333,199493.583333333333,,57495,,,AZ
2,1986-01-01,3308.262,,7.0500000000000000,196413.000000000000,,60347,,,AZ
3,1987-01-01,3437.103,,6.5083333333333333,205785.916666666667,,61198,,,AZ
4,1988-01-01,3535.183,,6.4083333333333333,237263.750000000000,,58371,,,AZ
5,1989-01-01,3622.185,,5.2416666666666667,274610.083333333333,,60404,14.7,,AZ
6,1990-01-01,3679.056,,5.2166666666666667,334127.666666666667,,58921,.,,AZ
7,1991-01-01,3762.394,,5.8583333333333333,408050.583333333333,,59796,.,,AZ
8,1992-01-01,3867.333,,7.5666666666666667,465913.833333333333,,55727,.,,AZ
9,1993-01-01,3993.39,,6.3666666666666667,498743.500000000000,,56490,18.5,,AZ
10,1994-01-01,4147.561,,6.1916666666666667,508753.750000000000,,56754,.,,AZ
11,1995-01-01,4306.908,,5.3000000000000000,462451.000000000000,,54658,16.3,,AZ
12,1996-01-01,4432.308,,5.4916666666666667,419128.583333333333,,54575,16.3,,AZ
13,1997-01-01,4552.207,,4.6250000000000000,343877.916666666667,,55283,15.5,,AZ
14,1998-01-01,4667.277,,4.2750000000000000,281227.666666666667,,61791,14.9,,AZ
15,1999-01-01,4778.332,,4.4583333333333333,256433.333333333333,,60348,12.8,,AZ
16,2000-01-01,5160.586,,3.9833333333333333,262330.750000000000,,62766,12.5,,AZ
17,2001-01-01,5273.477,,4.7250000000000000,310545.250000000000,,65509,13.2,,AZ
18,2002-01-01,5396.255,,6.1416666666666667,399572.500000000000,,60007,13.6,,AZ
19,2003-01-01,5510.364,,5.7833333333333333,492483.833333333333,,60789,13.9,,AZ
20,2004-01-01,5652.404,,4.9666666666666667,534333.333333333333,,63043,14.6,,AZ
21,2005-01-01,5839.077,262325.975000000000,4.6666666666666667,551268.000000000000,,62924,14.4,,AZ
22,2006-01-01,6029.141,274179.425000000000,4.3083333333333333,535997.083333333333,25.5,62850,14.2,,AZ
23,2007-01-01,6167.681,283250.750000000000,3.7500000000000000,558263.416666666667,25.3,61848,14.1,6.75,AZ
24,2008-01-01,6280.362,280810.050000000000,5.7916666666666667,660820.583333333333,25.1,59180,14.7,6.9,AZ
25,2009-01-01,6343.154,257498.475000000000,9.6666666666666667,879994.000000000000,25.6,57899,16.5,7.25,AZ
26,2010-01-01,6407.342,260307.125000000000,10.3000000000000000,1034267.166666666667,25.9,58400,17.6,7.25,AZ
27,2011-01-01,6473.416,266101.525000000000,9.4333333333333333,1088957.416666666667,26.6,58698,19.0,7.35,AZ
28,2012-01-01,6556.344,271440.025000000000,8.3500000000000000,1122238.916666666667,27.3,55616,18.7,7.65,AZ
29,2013-01-01,6634.69,273481.875000000000,7.8166666666666667,1096706.333333333333,27.4,61290,18.6,7.8,AZ
30,2014-01-01,6732.873,276948.950000000000,6.7916666666666667,1031904.166666666667,27.6,56424,18.2,7.9,AZ
31,2015-01-01,6832.81,282576.975000000000,6.0750000000000000,987061.416666666667,27.7,59751,17.4,8.05,AZ
32,2016-01-01,6944.767,291275.225000000000,5.4833333333333333,952900.250000000000,28.9,64468,16.4,8.05,AZ
33,2017-01-01,7048.088,303606.050000000000,4.9750000000000000,900287.750000000000,29.4,65984,14.9,10.0,AZ
34,2018-01-01,7164.228,314827.425000000000,4.8083333333333333,831409.750000000000,29.7,67201,14.1,10.5,AZ
35,2019-01-01,7291.843,325395.275000000000,4.8083333333333333,786109.083333333333,30.2,74897,13.5,11.0,AZ
36,2020-01-01,7179.943,327178.025000000000,7.8416666666666667,845480.000000000000,33.0,70220,12.8,12.0,AZ
37,2021-01-01,7264.877,347655.975000000000,5.0750000000000000,.,32.4,70821,12.9,12.15,AZ
