,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,1647998.083333333333,25844.393,,7.7583333333333333,,62981,,3.35,CA
1,1985-01-01,1613099.916666666667,26441.109,,7.1833333333333333,,64969,,3.35,CA
2,1986-01-01,1629150.000000000000,27102.237,,6.7666666666666667,,68654,,3.35,CA
3,1987-01-01,1630587.166666666667,27777.158,,5.8250000000000000,,68969,,3.35,CA
4,1988-01-01,1690491.000000000000,28464.249,,5.2750000000000000,,66876,,3.35,CA
5,1989-01-01,1813254.166666666667,29218.164,,5.0916666666666667,,69833,12.7,3.35,CA
6,1990-01-01,1986976.166666666667,29950.111,,5.7916666666666667,,67118,.,3.35,CA
7,1991-01-01,2300989.500000000000,30414.114,,7.8250000000000000,,65490,.,4.25,CA
8,1992-01-01,2622444.333333333333,30875.92,,9.3500000000000000,,66253,.,4.25,CA
9,1993-01-01,2951449.750000000000,31147.208,,9.5333333333333333,,63086,17.4,4.25,CA
10,1994-01-01,3147999.250000000000,31317.179,,8.6500000000000000,,64078,.,4.25,CA
11,1995-01-01,3186375.000000000000,31493.525,,7.8916666666666667,,65542,16.5,4.25,CA
12,1996-01-01,3085164.083333333333,31780.829,,7.3500000000000000,,66952,16.7,4.25,CA
13,1997-01-01,2673251.500000000000,32217.708,,6.4083333333333333,,67025,16.0,4.75,CA
14,1998-01-01,2178820.583333333333,32682.794,,5.9333333333333333,,68195,14.9,5.15,CA
15,1999-01-01,1980579.500000000000,33145.121,,5.2666666666666667,,71169,13.7,5.15,CA
16,2000-01-01,1782805.833333333333,33987.977,,4.9250000000000000,,73862,12.7,5.75,CA
17,2001-01-01,1663457.666666666667,34479.458,,5.4666666666666667,,72501,12.9,6.25,CA
18,2002-01-01,1698661.583333333333,34871.843,,6.7583333333333333,,71640,13.3,6.75,CA
19,2003-01-01,1733396.833333333333,35253.159,,6.8916666666666667,,72801,13.7,6.75,CA
20,2004-01-01,1909567.250000000000,35574.576,,6.2166666666666667,,70773,13.2,6.75,CA
21,2005-01-01,1999161.583333333333,35827.943,1926842.075000000000,5.3833333333333333,,71977,13.3,6.75,CA
22,2006-01-01,2005421.916666666667,36021.202,2002437.425000000000,4.9166666666666667,29.0,74518,13.1,6.75,CA
23,2007-01-01,2074381.416666666667,36250.311,2041192.175000000000,5.3083333333333333,29.5,73007,12.4,7.5,CA
24,2008-01-01,2300892.916666666667,36604.337,2061638.775000000000,7.3000000000000000,29.6,71921,13.3,8.0,CA
25,2009-01-01,2823025.916666666667,36961.229,1995439.675000000000,11.5416666666666667,29.9,71058,14.2,8.0,CA
26,2010-01-01,3357445.666666666667,37319.55,2036015.050000000000,12.4583333333333333,30.1,67600,15.8,8.0,CA
27,2011-01-01,3760865.583333333333,37636.311,2063827.500000000000,11.8916666666666667,30.3,64428,16.6,8.0,CA
28,2012-01-01,4022281.166666666667,37944.551,2113096.450000000000,10.5250000000000000,30.9,67410,17.0,8.0,CA
29,2013-01-01,4197569.250000000000,38253.768,2179228.975000000000,9.0333333333333333,31.0,70823,16.8,8.0,CA
30,2014-01-01,4384201.500000000000,38586.706,2256054.725000000000,7.5666666666666667,31.7,69292,16.4,9.0,CA
31,2015-01-01,4422455.750000000000,38904.296,2357452.925000000000,6.2250000000000000,32.3,72774,15.4,9.0,CA
32,2016-01-01,4288125.916666666667,39149.186,2427894.575000000000,5.5166666666666667,32.9,75235,14.4,10.0,CA
33,2017-01-01,4065284.833333333333,39337.785,2538204.050000000000,4.8333333333333333,33.6,77410,13.3,10.5,CA
34,2018-01-01,3891812.083333333333,39437.463,2644061.175000000000,4.2583333333333333,34.2,76055,12.8,11.0,CA
35,2019-01-01,3848877.000000000000,39437.61,2729225.825000000000,4.1000000000000000,35.0,82772,11.8,12.0,CA
36,2020-01-01,4371406.000000000000,39501.653,2667220.925000000000,10.2000000000000000,36.9,81278,11.5,12.0,CA
37,2021-01-01,.,39142.991,2874730.800000000000,7.3250000000000000,36.2,81575,12.3,13.0,CA
