,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,177508.916666666667,3169.992,,5.4916666666666667,,64261,,1.9,CO
1,1985-01-01,171059.500000000000,3208.723,,5.9833333333333333,,67861,,1.9,CO
2,1986-01-01,183771.083333333333,3237.45,,7.5166666666666667,,64351,,1.9,CO
3,1987-01-01,197247.333333333333,3260.48,,7.5416666666666667,,60573,,1.9,CO
4,1988-01-01,206468.750000000000,3262.281,,6.4166666666666667,,57883,,3.0,CO
5,1989-01-01,212501.666666666667,3275.818,,5.5833333333333333,,56710,11.7,3.0,CO
6,1990-01-01,226673.333333333333,3303.862,,5.1333333333333333,,61963,.,3.0,CO
7,1991-01-01,245118.750000000000,3367.567,,5.2833333333333333,,61278,.,3.0,CO
8,1992-01-01,264484.416666666667,3459.995,,6.0916666666666667,,61661,.,3.0,CO
9,1993-01-01,272943.333333333333,3560.884,,5.3833333333333333,,63855,11.7,3.0,CO
10,1994-01-01,265136.166666666667,3653.91,,4.1416666666666667,,68615,.,3.0,CO
11,1995-01-01,247894.333333333333,3738.061,,4.0250000000000000,,72089,10.4,3.0,CO
12,1996-01-01,240771.750000000000,3812.716,,4.1666666666666667,,70640,10.5,3.0,CO
13,1997-01-01,208893.833333333333,3891.293,,3.3583333333333333,,73000,10.2,4.75,CO
14,1998-01-01,186290.000000000000,3968.967,,3.6166666666666667,,77633,9.9,5.15,CO
15,1999-01-01,168205.416666666667,4056.133,,3.0166666666666667,,78588,8.9,5.15,CO
16,2000-01-01,153268.083333333333,4326.921,,2.7416666666666667,,76108,8.9,5.15,CO
17,2001-01-01,158617.833333333333,4425.687,,3.8166666666666667,,75776,8.7,5.15,CO
18,2002-01-01,184631.000000000000,4490.406,,5.6833333333333333,,72935,9.5,5.15,CO
19,2003-01-01,217686.416666666667,4528.732,,6.1083333333333333,,73746,10.0,5.15,CO
20,2004-01-01,244287.416666666667,4575.013,,5.5666666666666667,,73166,10.2,5.15,CO
21,2005-01-01,248504.250000000000,4631.888,251558.425000000000,5.0750000000000000,,70161,10.9,5.15,CO
22,2006-01-01,254650.166666666667,4720.423,257430.175000000000,4.2750000000000000,34.3,75027,11.6,5.15,CO
23,2007-01-01,249264.583333333333,4803.868,266887.475000000000,3.7000000000000000,35.0,80089,11.5,6.85,CO
24,2008-01-01,261437.583333333333,4889.73,270981.400000000000,4.8750000000000000,35.6,76877,11.2,7.02,CO
25,2009-01-01,344095.166666666667,4972.195,264966.275000000000,7.8750000000000000,35.9,70800,12.6,7.28,CO
26,2010-01-01,418300.750000000000,5047.539,267858.900000000000,9.1416666666666667,36.4,75009,13.2,7.24,CO
27,2011-01-01,465191.750000000000,5121.9,271700.650000000000,8.6916666666666667,36.7,70781,13.4,7.36,CO
28,2012-01-01,497317.416666666667,5193.66,276823.150000000000,8.0000000000000000,37.5,67688,13.6,7.64,CO
29,2013-01-01,507566.166666666667,5270.774,286259.075000000000,6.7500000000000000,37.8,79115,12.9,7.78,CO
30,2014-01-01,504425.916666666667,5352.637,298655.250000000000,4.9833333333333333,38.3,69811,12.1,8.0,CO
31,2015-01-01,489905.500000000000,5454.328,312409.650000000000,3.7416666666666667,39.2,76159,11.5,8.23,CO
32,2016-01-01,472022.666666666667,5543.844,318953.350000000000,3.1333333333333333,39.9,79671,11,8.31,CO
33,2017-01-01,455335.916666666667,5617.421,329913.275000000000,2.6083333333333333,41.2,82877,10.3,9.3,CO
34,2018-01-01,452202.250000000000,5697.155,342733.150000000000,3.0500000000000000,41.7,78801,9.7,10.2,CO
35,2019-01-01,445009.083333333333,5758.486,358438.475000000000,2.6666666666666667,42.7,76832,9.4,11.1,CO
36,2020-01-01,497120.583333333333,5784.865,353345.175000000000,6.7666666666666667,44.2,87689,9.0,12.0,CO
37,2021-01-01,.,5811.297,373763.325000000000,5.4583333333333333,44.4,84954,9.7,12.32,CO
