,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,153860.750000000000,3180.014,,4.6500000000000000,,74597,,3.37,CT
1,1985-01-01,141583.583333333333,3201.131,,4.3916666666666667,,74864,,3.37,CT
2,1986-01-01,127031.666666666667,3223.74,,3.7583333333333333,,77436,,3.37,CT
3,1987-01-01,113163.916666666667,3247.291,,3.1333333333333333,,75183,,3.37,CT
4,1988-01-01,108469.833333333333,3271.953,,2.8750000000000000,,79961,,3.75,CT
5,1989-01-01,117053.833333333333,3283.403,,3.6000000000000000,,89534,7.0,3.75,CT
6,1990-01-01,141577.500000000000,3289.056,,4.9333333333333333,,78369,.,3.75,CT
7,1991-01-01,181611.750000000000,3288.64,,6.5500000000000000,,82006,.,4.25,CT
8,1992-01-01,206409.083333333333,3274.997,,7.3333333333333333,,77524,.,4.27,CT
9,1993-01-01,217436.750000000000,3272.325,,6.4833333333333333,,73164,9.2,4.27,CT
10,1994-01-01,223716.083333333333,3268.346,,5.5416666666666667,,74535,.,4.27,CT
11,1995-01-01,225843.833333333333,3265.293,,5.3083333333333333,,71269,8.3,4.27,CT
12,1996-01-01,220658.416666666667,3267.03,,5.2000000000000000,,72657,9.0,4.27,CT
13,1997-01-01,206234.000000000000,3268.514,,4.6833333333333333,,74270,8.9,4.77,CT
14,1998-01-01,191479.166666666667,3272.563,,3.2416666666666667,,77481,8.7,5.18,CT
15,1999-01-01,174069.583333333333,3282.031,,2.4583333333333333,,82529,7.5,5.18,CT
16,2000-01-01,162203.000000000000,3411.777,,2.1083333333333333,,79156,7.3,6.15,CT
17,2001-01-01,158231.250000000000,3432.835,,2.8750000000000000,,81836,7.1,6.4,CT
18,2002-01-01,172036.583333333333,3458.749,,4.4000000000000000,,80626,7.8,6.7,CT
19,2003-01-01,184524.083333333333,3484.336,,5.4500000000000000,,81166,8.0,6.9,CT
20,2004-01-01,198703.416666666667,3496.094,,5.0916666666666667,,79225,9.1,7.1,CT
21,2005-01-01,205916.250000000000,3506.956,238549.550000000000,4.8000000000000000,,79042,8.3,7.1,CT
22,2006-01-01,210916.500000000000,3517.46,248233.825000000000,4.4250000000000000,33.7,84062,8.3,7.4,CT
23,2007-01-01,214819.833333333333,3527.27,257953.025000000000,4.4500000000000000,34.7,84019,7.9,7.65,CT
24,2008-01-01,230358.083333333333,3545.579,257755.975000000000,5.6500000000000000,35.6,81594,9.1,7.65,CT
25,2009-01-01,276179.583333333333,3561.807,244894.775000000000,8.3250000000000000,35.6,82092,9.3,8.0,CT
26,2010-01-01,350411.833333333333,3579.173,244354.725000000000,9.5583333333333333,35.5,82189,10.1,8.25,CT
27,2011-01-01,386327.083333333333,3588.632,238542.400000000000,9.0166666666666667,36.2,78973,10.8,8.25,CT
28,2012-01-01,408307.000000000000,3595.211,240911.900000000000,8.3583333333333333,37.1,75954,10.6,8.25,CT
29,2013-01-01,429556.500000000000,3595.792,236050.650000000000,7.9500000000000000,37.2,80721,10.7,8.25,CT
30,2014-01-01,441378.333333333333,3595.697,235780.925000000000,6.6166666666666667,38.0,80374,10.8,8.7,CT
31,2015-01-01,440430.500000000000,3588.561,242706.550000000000,5.6166666666666667,38.3,83355,10.6,9.15,CT
32,2016-01-01,427123.250000000000,3579.83,243286.675000000000,4.8666666666666667,38.6,85720,9.9,9.6,CT
33,2017-01-01,404902.750000000000,3575.324,247035.900000000000,4.4166666666666667,38.7,82125,9.7,10.1,CT
34,2018-01-01,380251.916666666667,3574.561,249074.750000000000,3.8833333333333333,39.6,78561,10.3,10.1,CT
35,2019-01-01,365170.250000000000,3566.022,251568.225000000000,3.6083333333333333,39.8,92507,9.9,11.0,CT
36,2020-01-01,372516.916666666667,3597.362,235234.900000000000,7.9666666666666667,42.4,83141,9.7,12.0,CT
37,2021-01-01,.,3623.355,246555.850000000000,6.2916666666666667,42.1,80958,10.1,13.0,CT
