,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,76761.083333333333,633.382,,8.8833333333333333,,50829,,3.75,DC
1,1985-01-01,71471.916666666667,634.549,,7.9666666666666667,,50750,,3.75,DC
2,1986-01-01,66851.833333333333,638.269,,7.3666666666666667,,57559,,3.75,DC
3,1987-01-01,59627.000000000000,636.93,,6.2666666666666667,,62813,,3.75,DC
4,1988-01-01,59094.666666666667,630.432,,5.0250000000000000,,59046,,4.85,DC
5,1989-01-01,58637.500000000000,624.168,,4.8083333333333333,,56596,15.0,4.85,DC
6,1990-01-01,63723.750000000000,603.814,,5.8916666666666667,,55227,.,4.85,DC
7,1991-01-01,75588.916666666667,593.239,,7.7000000000000000,,58138,.,4.85,DC
8,1992-01-01,83300.000000000000,584.183,,8.5833333333333333,,57415,.,5.45,DC
9,1993-01-01,87812.333333333333,576.358,,8.4000000000000000,,50554,20.4,5.45,DC
10,1994-01-01,92025.416666666667,564.982,,7.9333333333333333,,54619,.,4.25,DC
11,1995-01-01,93495.583333333333,551.273,,8.6083333333333333,,54454,20.8,4.25,DC
12,1996-01-01,92658.083333333333,538.273,,8.4250000000000000,,55142,21.9,5.25,DC
13,1997-01-01,89127.416666666667,528.752,,8.1416666666666667,,53797,19.3,5.75,DC
14,1998-01-01,84573.416666666667,521.426,,8.3166666666666667,,55698,18.2,6.15,DC
15,1999-01-01,83831.416666666667,519.0,,6.5750000000000000,,63080,17.3,6.15,DC
16,2000-01-01,78651.500000000000,572.046,,5.6916666666666667,,65036,16.3,6.15,DC
17,2001-01-01,73195.583333333333,574.504,,6.4666666666666667,,63154,17.5,6.15,DC
18,2002-01-01,75404.750000000000,573.158,,6.9833333333333333,,59004,17.2,6.15,DC
19,2003-01-01,83115.666666666667,568.502,,7.2750000000000000,,66516,17.5,6.15,DC
20,2004-01-01,86972.833333333333,567.754,,8.0833333333333333,,62475,18.3,6.15,DC
21,2005-01-01,89517.583333333333,567.136,99480.725000000000,6.9916666666666667,,62573,18.3,6.6,DC
22,2006-01-01,88153.166666666667,570.681,99805.525000000000,6.3250000000000000,45.9,65302,18.1,7.0,DC
23,2007-01-01,86557.583333333333,574.404,102738.650000000000,5.9500000000000000,47.5,66521,17.1,7.0,DC
24,2008-01-01,92153.500000000000,580.236,106768.875000000000,6.8500000000000000,48.2,70125,16.9,7.0,DC
25,2009-01-01,106882.250000000000,592.228,105893.900000000000,10.0000000000000000,48.5,67269,17.6,7.55,DC
26,2010-01-01,122964.583333333333,605.282,109986.550000000000,9.9500000000000000,50.1,70893,18.8,8.25,DC
27,2011-01-01,137096.250000000000,620.29,111646.475000000000,10.1916666666666667,52.5,66702,19.1,8.25,DC
28,2012-01-01,142268.000000000000,635.737,112157.000000000000,8.9750000000000000,53.0,77135,18.8,8.25,DC
29,2013-01-01,144880.666666666667,651.559,112332.450000000000,8.4333333333333333,55.1,69964,18.8,8.25,DC
30,2014-01-01,142633.833333333333,663.603,114553.550000000000,7.7083333333333333,55.0,78216,18.4,9.5,DC
31,2015-01-01,140581.000000000000,677.014,116808.350000000000,6.9166666666666667,56.7,80133,17.7,10.5,DC
32,2016-01-01,131043.666666666667,687.576,119644.275000000000,6.2333333333333333,56.8,80141,18.5,11.5,DC
33,2017-01-01,121728.083333333333,697.079,120759.325000000000,6.1000000000000000,57.3,89838,16.6,12.5,DC
34,2018-01-01,109966.000000000000,704.147,123680.475000000000,5.6833333333333333,60.4,92521,16.1,13.25,DC
35,2019-01-01,108814.500000000000,708.253,124597.225000000000,5.4750000000000000,59.7,98675,14.1,14.0,DC
36,2020-01-01,123096.083333333333,670.868,122485.250000000000,7.8833333333333333,63.6,92337,15.0,15.0,DC
37,2021-01-01,.,668.791,126982.975000000000,6.8333333333333333,63.0,90640,16.8,15.2,DC
