,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,1984-01-01,43839.416666666667,611.565,,6.2166666666666667,,64306,,2.0,DE
1,1985-01-01,38252.000000000000,618.28,,5.1500000000000000,,55335,,2.0,DE
2,1986-01-01,31659.333333333333,627.559,,4.1750000000000000,,60645,,2.0,DE
3,1987-01-01,28835.250000000000,636.947,,3.0333333333333333,,66906,,2.0,DE
4,1988-01-01,29147.333333333333,647.622,,2.9833333333333333,,67357,,3.35,DE
5,1989-01-01,30200.083333333333,658.273,,3.3083333333333333,,67843,9.4,3.35,DE
6,1990-01-01,34695.416666666667,669.063,,4.4083333333333333,,62106,.,3.35,DE
7,1991-01-01,43446.500000000000,680.495,,5.9166666666666667,,63391,.,3.8,DE
8,1992-01-01,53047.666666666667,690.158,,5.2250000000000000,,67724,.,4.25,DE
9,1993-01-01,58583.333333333333,699.475,,4.9083333333333333,,66773,11.1,4.25,DE
10,1994-01-01,58911.916666666667,708.416,,4.7000000000000000,,65061,.,4.25,DE
11,1995-01-01,56534.916666666667,718.265,,4.2666666666666667,,61857,9.7,4.25,DE
12,1996-01-01,58413.833333333333,727.09,,4.9500000000000000,,67809,9.8,4.65,DE
13,1997-01-01,51155.000000000000,735.024,,4.0083333333333333,,72663,10.0,5.0,DE
14,1998-01-01,44179.500000000000,744.066,,3.4916666666666667,,69068,9.7,5.15,DE
15,1999-01-01,36661.666666666667,753.538,,3.2833333333333333,,76061,9.4,5.15,DE
16,2000-01-01,31309.250000000000,786.373,,3.6083333333333333,,79461,8.7,5.65,DE
17,2001-01-01,33409.750000000000,795.699,,3.5750000000000000,,76091,8.4,6.15,DE
18,2002-01-01,41337.583333333333,806.169,,4.2666666666666667,,74982,9.3,6.15,DE
19,2003-01-01,47729.000000000000,818.003,,4.4666666666666667,,72386,9.0,6.15,DE
20,2004-01-01,57771.416666666667,830.803,,4.3000000000000000,,69087,9.6,6.15,DE
21,2005-01-01,62984.916666666667,845.15,59335.050000000000,4.5083333333333333,,71254,10.3,6.15,DE
22,2006-01-01,65723.666666666667,859.268,60624.275000000000,3.9083333333333333,27.0,70637,10.7,6.15,DE
23,2007-01-01,68576.833333333333,871.749,60477.875000000000,3.6083333333333333,26.1,71507,10.3,6.65,DE
24,2008-01-01,77258.583333333333,883.874,58655.675000000000,5.0333333333333333,27.5,63959,10.3,7.15,DE
25,2009-01-01,96525.333333333333,891.73,61517.700000000000,8.3416666666666667,28.7,65969,11.2,7.15,DE
26,2010-01-01,118652.666666666667,899.647,60577.200000000000,8.6583333333333333,27.8,68759,11.9,7.25,DE
27,2011-01-01,139254.916666666667,907.59,62919.325000000000,7.6083333333333333,28.8,65989,12.6,7.25,DE
28,2012-01-01,149668.166666666667,915.518,62354.600000000000,7.0666666666666667,29.5,57896,12.7,7.25,DE
29,2013-01-01,153314.166666666667,924.062,60235.800000000000,6.6083333333333333,29.8,63014,12.9,7.25,DE
30,2014-01-01,149865.750000000000,933.131,64940.075000000000,5.6083333333333333,30.6,65895,13.0,7.75,DE
31,2015-01-01,148876.833333333333,942.065,66793.450000000000,4.7916666666666667,30.9,66049,12.6,8.25,DE
32,2016-01-01,148028.666666666667,949.989,63001.350000000000,4.5250000000000000,31.0,65536,11.8,8.25,DE
33,2017-01-01,145548.833333333333,957.942,60357.525000000000,4.4666666666666667,31.5,71799,13,8.25,DE
34,2018-01-01,138033.666666666667,966.985,61425.125000000000,3.7083333333333333,31.3,70145,12.2,8.25,DE
35,2019-01-01,125776.666666666667,976.668,64143.500000000000,3.5916666666666667,33.2,78628,11.2,9.25,DE
36,2020-01-01,120600.916666666667,992.114,62281.750000000000,7.5083333333333333,34.7,73292,10.9,9.25,DE
37,2021-01-01,.,1004.807,64404.725000000000,5.5000000000000000,35.6,68687,11.5,9.25,DE
