,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,2006-01-01,1224388.666666666667,18166.99,839963.750000000000,2.4666666666666667,25.3,61528,12.6,6.4,FL
1,2007-01-01,1266900.250000000000,18367.842,850048.625000000000,3.3000000000000000,25.8,59986,12.1,6.67,FL
2,2008-01-01,1547207.583333333333,18527.305,816070.200000000000,5.6916666666666667,25.8,56585,13.3,6.79,FL
3,2009-01-01,2129033.083333333333,18652.644,769061.125000000000,9.5583333333333333,25.3,57763,15.0,7.21,FL
4,2010-01-01,2743684.250000000000,18846.143,775039.450000000000,10.8250000000000000,25.8,54876,16.5,7.25,FL
5,2011-01-01,3140932.333333333333,19055.607,772021.300000000000,10.0000000000000000,25.8,54454,17.0,7.25,FL
6,2012-01-01,3423192.500000000000,19302.016,778545.050000000000,8.6666666666666667,26.8,54466,17.2,7.67,FL
7,2013-01-01,3556331.583333333333,19551.678,794842.150000000000,7.5333333333333333,27.2,56538,17.1,7.79,FL
8,2014-01-01,3563553.166666666667,19853.88,817233.550000000000,6.4333333333333333,27.3,52856,16.6,7.93,FL
9,2015-01-01,3659116.666666666667,20219.111,852242.400000000000,5.5250000000000000,28.4,55836,15.8,8.05,FL
10,2016-01-01,3347237.916666666667,20627.237,881539.225000000000,4.9166666666666667,28.6,57779,14.8,8.05,FL
11,2017-01-01,3134438.416666666667,20977.089,912687.375000000000,4.3000000000000000,29.7,58674,14.1,8.1,FL
12,2018-01-01,2986326.750000000000,21254.926,941626.700000000000,3.6500000000000000,30.4,58959,13.7,8.25,FL
13,2019-01-01,2780203.916666666667,21492.056,965672.475000000000,3.2500000000000000,30.7,61856,12.7,8.46,FL
14,2020-01-01,3374667.083333333333,21589.602,950164.400000000000,8.1750000000000000,33.7,60460,12.4,8.56,FL
15,2021-01-01,.,21828.069,1029575.625000000000,4.6583333333333333,33.2,59734,13.2,10.0,FL
