,DATE,snap_recipients,bachelor,population,gdp,unemployment_rate,household_income,poverty,minimum_wage,state_abbrev
0,2006-01-01,1239953,28.9,12643.955,704827.575000000000,4.5833333333333333,65563,12.3,6.5,IL
1,2007-01-01,1283308,29.5,12695.866,712619.800000000000,5.0833333333333333,68778,11.9,6.5,IL
2,2008-01-01,1404337,29.9,12747.038,706616.475000000000,6.4833333333333333,67178,12.2,7.5,IL
3,2009-01-01,1595460,30.6,12796.778,688160.950000000000,10.1916666666666667,66926,13.3,7.75,IL
4,2010-01-01,1763841,30.8,12840.545,698179.575000000000,10.5000000000000000,63173,13.8,8.0,IL
5,2011-01-01,1837040,31.0,12867.783,711283.375000000000,9.7750000000000000,61132,14.9,8.25,IL
6,2012-01-01,2009195,31.6,12883.029,726399.100000000000,9.0250000000000000,61166,14.7,8.25,IL
7,2013-01-01,2014248,32.1,12895.778,726124.950000000000,9.0750000000000000,62835,14.6,8.25,IL
8,2014-01-01,2046077,32.8,12885.092,741194.000000000000,7.1666666666666667,62910,14.3,8.25,IL
9,2015-01-01,1935887,32.9,12859.585,751754.950000000000,6.0333333333333333,69088,13.6,8.25,IL
10,2016-01-01,1896168,34.0,12821.709,749333.500000000000,5.8916666666666667,69307,13,8.25,IL
11,2017-01-01,1850033,34.4,12779.893,753026.950000000000,4.9333333333333333,72913,12.5,8.25,IL
12,2018-01-01,1761561,35.1,12724.685,771695.550000000000,4.3750000000000000,75684,12.1,8.25,IL
13,2019-01-01,1832120,35.8,12667.017,775998.125000000000,3.9833333333333333,78845,11.4,8.25,IL
14,2020-01-01,1940897,37.6,12786.58,734385.050000000000,9.3500000000000000,77805,11.0,10.0,IL
15,2021-01-01,,37.1,12686.469,780060.775000000000,6.0583333333333333,79253,12.1,11.0,IL
