,DATE,snap_recipients,bachelor,population,gdp,unemployment_rate,household_income,poverty,minimum_wage,state_abbrev
0,2006-01-01,438592.666666666667,37.0,6410.084,395535.850000000000,4.7000000000000000,74533,10.0,6.75,MA
1,2007-01-01,464504.333333333333,37.9,6431.559,406421.150000000000,4.5166666666666667,76582,10.0,7.5,MA
2,2008-01-01,528542.166666666667,38.1,6468.967,414919.875000000000,5.3333333333333333,76091,10.1,8.0,MA
3,2009-01-01,664186.416666666667,38.2,6517.613,407219.550000000000,8.0750000000000000,75158,10.3,8.0,MA
4,2010-01-01,768841.916666666667,39.0,6566.44,425792.725000000000,8.0583333333333333,75882,11.4,8.0,MA
5,2011-01-01,824553.416666666667,39.1,6614.218,434494.525000000000,7.2250000000000000,76435,11.6,8.0,MA
6,2012-01-01,872310.250000000000,39.3,6664.269,442916.900000000000,6.7000000000000000,75256,11.9,8.0,MA
7,2013-01-01,887319.083333333333,40.3,6715.158,444874.025000000000,6.6416666666666667,72844,11.9,8.0,MA
8,2014-01-01,844644.083333333333,41.2,6764.864,451568.925000000000,5.7416666666666667,72344,11.7,8.0,MA
9,2015-01-01,779978.333333333333,41.5,6797.484,468060.900000000000,4.7916666666666667,77605,11.5,9.0,MA
10,2016-01-01,774994.333333333333,42.7,6827.28,475349.025000000000,4.0416666666666667,81591,10.5,10.0,MA
11,2017-01-01,764606.583333333333,43.4,6863.56,482808.425000000000,3.7916666666666667,84269,10.5,11.0,MA
12,2018-01-01,769104.250000000000,44.5,6885.72,501541.450000000000,3.4750000000000000,93163,10,11.0,MA
13,2019-01-01,759071.000000000000,45.0,6894.883,514170.850000000000,3.0166666666666667,92949,9.5,12.0,MA
14,2020-01-01,853010.750000000000,46.9,6995.729,500000.950000000000,9.4250000000000000,91912,9.4,12.75,MA
15,2021-01-01,.,46.6,6989.69,533102.050000000000,5.5250000000000000,86566,10.4,13.5,MA
