,DATE,snap_recipients,bachelor,population,gdp,unemployment_rate,household_income,poverty,minimum_wage,state_abbrev
0,2006-01-01,306817.583333333333,35.1,5627.367,305794.075000000000,4.1750000000000000,85765,8.0,5.15,MD
1,2007-01-01,325347.583333333333,35.2,5653.408,306755.825000000000,3.7333333333333333,85970,8.3,6.15,MD
2,2008-01-01,376988.333333333333,35.2,5684.965,314757.575000000000,4.5250000000000000,80369,8.2,6.15,MD
3,2009-01-01,483145.583333333333,35.7,5730.388,311342.200000000000,7.5500000000000000,81251,9.2,6.55,MD
4,2010-01-01,589411.750000000000,36.1,5788.784,325369.650000000000,7.8250000000000000,79951,9.9,7.25,MD
5,2011-01-01,685836.250000000000,36.9,5840.241,332437.225000000000,7.3166666666666667,83151,10.2,7.25,MD
6,2012-01-01,726600.916666666667,36.9,5888.375,332523.500000000000,6.8666666666666667,84926,10.4,7.25,MD
7,2013-01-01,781947.916666666667,37.4,5925.197,334268.925000000000,6.5166666666666667,80794,10.2,7.25,MD
8,2014-01-01,785850.916666666667,38.2,5960.064,339604.625000000000,5.7333333333333333,87252,10.4,7.25,MD
9,2015-01-01,777791.500000000000,38.8,5988.528,348151.775000000000,4.9916666666666667,84162,9.9,8.25,MD
10,2016-01-01,728046.250000000000,39.3,6007.014,360081.950000000000,4.2916666666666667,83277,9.7,8.75,MD
11,2017-01-01,672530.333333333333,39.7,6028.186,366204.400000000000,4.0000000000000000,90734,9.4,9.25,MD
12,2018-01-01,639101.000000000000,40.8,6042.153,367977.400000000000,3.8166666666666667,93031,9.1,10.1,MD
13,2019-01-01,613311.833333333333,40.9,6054.954,368056.425000000000,3.3916666666666667,101283,9.1,10.1,MD
14,2020-01-01,747712.583333333333,43.1,6173.205,352383.975000000000,6.5166666666666667,99215,9.0,11.0,MD
15,2021-01-01,.,42.5,6174.61,368571.075000000000,5.3166666666666667,97332,10.3,11.75,MD
