,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,160180.416666666667,25.8,61483,1323.619,55448.400000000000,4.7166666666666667,12.7,6.5,ME
1,2007-01-01,164174.166666666667,26.7,62737,1327.04,55359.900000000000,4.6916666666666667,12.2,6.75,ME
2,2008-01-01,178246.916666666667,25.4,59576,1330.509,54653.875000000000,5.4000000000000000,12.6,7.0,ME
3,2009-01-01,209954.500000000000,26.9,60131,1329.59,53630.100000000000,8.3916666666666667,12.6,7.25,ME
4,2010-01-01,235110.416666666667,26.8,59689,1327.651,54305.000000000000,8.4166666666666667,13.1,7.5,ME
5,2011-01-01,250325.250000000000,28.4,59992,1328.473,53789.000000000000,7.7250000000000000,14.2,7.5,ME
6,2012-01-01,252399.333333333333,28.0,58116,1328.094,53679.725000000000,7.1916666666666667,14.4,7.5,ME
7,2013-01-01,246217.666666666667,28.2,64023,1328.543,53239.075000000000,6.6833333333333333,14.0,7.5,ME
8,2014-01-01,224160.166666666667,29.4,59237,1331.217,54037.875000000000,5.5583333333333333,14.0,7.5,ME
9,2015-01-01,197124.916666666667,30.1,58044,1329.098,54425.775000000000,4.3833333333333333,13.2,7.5,ME
10,2016-01-01,186594.250000000000,30.1,57418,1332.348,55565.350000000000,3.7750000000000000,12.3,7.5,ME
11,2017-01-01,177862.833333333333,32.1,58928,1335.743,56469.375000000000,3.3583333333333333,11.3,9.0,ME
12,2018-01-01,164188.750000000000,31.5,63295,1340.123,58099.875000000000,3.1750000000000000,11.6,10.0,ME
13,2019-01-01,155875.666666666667,33.2,70523,1345.77,59553.350000000000,2.9416666666666667,10.9,11.0,ME
14,2020-01-01,159349.166666666667,33.5,66667,1363.557,59881.450000000000,5.1166666666666667,10.6,12.0,ME
15,2021-01-01,.,36.0,71139,1377.238,63594.575000000000,4.6166666666666667,11.2,12.15,ME
