,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,1155083.416666666667,24.5,65531,10036.081,449853.500000000000,7.0333333333333333,13.5,5.15,MI
1,2007-01-01,1214386.166666666667,24.7,64670,10001.284,446943.150000000000,7.0833333333333333,13.9,6.95,MI
2,2008-01-01,1282553.166666666667,24.7,62806,9946.889,420973.950000000000,8.2166666666666667,14.4,7.15,MI
3,2009-01-01,1541592.166666666667,24.6,58222,9901.591,383140.075000000000,13.1333333333333333,16.1,7.4,MI
4,2010-01-01,1836499.666666666667,25.2,57628,9877.597,404216.850000000000,12.1916666666666667,16.7,7.4,MI
5,2011-01-01,1914424.416666666667,25.6,59010,9883.053,414834.350000000000,10.0083333333333333,17.5,7.4,MI
6,2012-01-01,1812869.916666666667,26.0,59129,9898.289,422691.175000000000,9.0583333333333333,17.4,7.4,MI
7,2013-01-01,1754181.583333333333,26.9,65898,9914.802,428737.600000000000,8.7250000000000000,17.0,7.4,MI
8,2014-01-01,1652176.000000000000,27.4,59575,9932.033,434313.125000000000,7.2333333333333333,16.2,8.15,MI
9,2015-01-01,1546851.583333333333,27.8,61986,9934.483,443831.225000000000,5.4250000000000000,15.7,8.15,MI
10,2016-01-01,1450349.666666666667,28.3,64458,9954.117,452325.225000000000,5.0083333333333333,14.9,8.5,MI
11,2017-01-01,1351853.583333333333,29.1,62342,9976.752,457614.025000000000,4.5750000000000000,14.1,8.9,MI
12,2018-01-01,1254205.750000000000,29.6,65222,9987.286,466559.425000000000,4.1583333333333333,14,9.25,MI
13,2019-01-01,1164147.500000000000,30.0,67951,9984.795,467106.975000000000,4.0666666666666667,12.9,9.45,MI
14,2020-01-01,1284826.750000000000,32.1,67399,10069.577,448455.325000000000,10.0000000000000000,12.6,9.65,MI
15,2021-01-01,.,31.7,64488,10037.504,481778.025000000000,5.8500000000000000,13.0,9.65,MI
