,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,264818.833333333333,30.4,75720,5163.555,284381.950000000000,4.0583333333333333,9.7,6.15,MN
1,2007-01-01,281880.333333333333,31.0,76051,5207.203,286299.200000000000,4.5833333333333333,9.5,6.16,MN
2,2008-01-01,300109.583333333333,31.5,69286,5247.018,288420.650000000000,5.4333333333333333,9.6,6.16,MN
3,2009-01-01,369482.500000000000,31.5,71002,5281.203,277494.100000000000,7.9083333333333333,10.9,6.16,MN
4,2010-01-01,446729.083333333333,31.8,65156,5310.934,287140.125000000000,7.3916666666666667,11.5,6.16,MN
5,2011-01-01,521202.833333333333,32.4,69804,5346.62,293783.150000000000,6.5250000000000000,11.8,6.16,MN
6,2012-01-01,541967.833333333333,33.2,73055,5377.5,298328.300000000000,5.6500000000000000,11.4,6.16,MN
7,2013-01-01,554447.916666666667,33.5,74935,5414.722,305486.425000000000,5.0416666666666667,11.2,6.15,MN
8,2014-01-01,522016.500000000000,34.3,77032,5452.665,314091.350000000000,4.2666666666666667,11.4,8.0,MN
9,2015-01-01,490641.083333333333,34.7,78599,5484.002,318913.225000000000,3.7916666666666667,10.2,9.0,MN
10,2016-01-01,472951.833333333333,34.8,79278,5525.36,324030.300000000000,3.8750000000000000,9.9,9.5,MN
11,2017-01-01,448431.000000000000,36.1,77341,5569.283,327483.200000000000,3.4833333333333333,9.5,9.5,MN
12,2018-01-01,423439.083333333333,36.7,77488,5608.762,336892.275000000000,3.0250000000000000,9.6,9.65,MN
13,2019-01-01,403193.333333333333,37.3,86292,5640.053,340557.150000000000,3.2500000000000000,8.9,9.86,MN
14,2020-01-01,424130.083333333333,37.9,82431,5709.852,328489.550000000000,6.2666666666666667,8.3,10.0,MN
15,2021-01-01,.,38.9,80441,5711.471,346204.325000000000,3.7833333333333333,9.3,10.08,MN
