,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,803105.833333333333,24.3,60051,5842.704,267221.100000000000,4.8750000000000000,13.8,5.15,MO
1,2007-01-01,833940.250000000000,24.5,60263,5887.612,267691.150000000000,5.0833333333333333,13.3,6.5,MO
2,2008-01-01,811525.500000000000,25.0,58075,5923.916,273436.225000000000,6.2166666666666667,13.5,6.65,MO
3,2009-01-01,832563.583333333333,25.2,61735,5961.088,266834.900000000000,9.0250000000000000,14.6,7.05,MO
4,2010-01-01,914769.166666666667,25.6,57057,5996.089,270732.900000000000,9.5083333333333333,15.3,7.25,MO
5,2011-01-01,948981.416666666667,26.1,55261,6011.182,268533.800000000000,8.6416666666666667,15.8,7.25,MO
6,2012-01-01,943991.833333333333,26.4,58832,6026.027,271535.150000000000,7.1916666666666667,16.2,7.25,MO
7,2013-01-01,916828.666666666667,27.0,53941,6042.989,274599.275000000000,6.7750000000000000,15.8,7.35,MO
8,2014-01-01,846930.833333333333,27.5,64873,6059.13,276080.675000000000,6.1500000000000000,15.5,7.5,MO
9,2015-01-01,844626.750000000000,27.8,67696,6075.411,279020.850000000000,5.1083333333333333,14.8,7.65,MO
10,2016-01-01,790681.833333333333,28.5,62115,6091.384,279109.125000000000,4.5500000000000000,14,7.65,MO
11,2017-01-01,756005.250000000000,29.1,62481,6111.382,281253.350000000000,3.7416666666666667,13.4,7.7,MO
12,2018-01-01,724712.250000000000,29.5,66600,6125.986,284540.250000000000,3.2416666666666667,13.2,7.85,MO
13,2019-01-01,682968.166666666667,30.2,64218,6140.475,290619.525000000000,3.2083333333333333,12.9,8.6,MO
14,2020-01-01,724620.250000000000,31.9,65081,6153.998,282754.125000000000,6.1916666666666667,12.1,9.45,MO
15,2021-01-01,.,31.7,63594,6169.823,295687.300000000000,4.0833333333333333,12.8,10.3,MO
