,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,81250.416666666667,27.4,41105,952.692,38577.550000000000,3.3416666666666667,14.4,5.15,MT
1,2007-01-01,79770.166666666667,27.0,43655,964.706,40438.300000000000,3.3583333333333333,14.1,6.15,MT
2,2008-01-01,81372.000000000000,27.1,42900,976.415,40471.125000000000,4.7250000000000000,14.1,6.25,MT
3,2009-01-01,98308.083333333333,27.4,40437,983.982,39513.400000000000,7.1166666666666667,15.0,6.9,MT
4,2010-01-01,117034.583333333333,28.8,41280,990.73,40793.750000000000,7.1833333333333333,15.2,7.25,MT
5,2011-01-01,125673.833333333333,28.2,40277,997.518,41875.700000000000,6.6250000000000000,15.2,7.35,MT
6,2012-01-01,126568.333333333333,29.4,45088,1004.168,42340.875000000000,5.8000000000000000,15.6,7.65,MT
7,2013-01-01,127939.000000000000,29.0,43201,1014.158,42968.250000000000,5.3416666666666667,16.1,7.8,MT
8,2014-01-01,123953.416666666667,29.3,51102,1022.657,43829.125000000000,4.6666666666666667,15.2,7.9,MT
9,2015-01-01,117024.250000000000,30.6,51395,1031.495,45395.750000000000,4.2916666666666667,14.4,8.05,MT
10,2016-01-01,118409.250000000000,31.0,57075,1042.137,44436.800000000000,4.3250000000000000,13.4,8.05,MT
11,2017-01-01,120018.666666666667,32.3,57407,1053.862,45974.275000000000,4.0916666666666667,12.7,8.15,MT
12,2018-01-01,113084.500000000000,31.7,57679,1061.818,46584.125000000000,3.7500000000000000,12.9,8.3,MT
13,2019-01-01,106684.583333333333,33.6,60195,1070.123,46886.225000000000,3.5000000000000000,12.6,8.5,MT
14,2020-01-01,102802.083333333333,34.6,56741,1087.075,46750.425000000000,5.8416666666666667,12.4,8.65,MT
15,2021-01-01,.,34.8,64999,1106.227,48976.225000000000,3.3833333333333333,12.0,8.75,MT
