,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,406925.000000000000,33.4,91680,8661.679,516681.375000000000,4.6333333333333333,8.7,6.15,NJ
1,2007-01-01,418850.500000000000,33.9,79260,8677.885,520898.350000000000,4.2250000000000000,8.5,7.15,NJ
2,2008-01-01,448963.833333333333,34.4,82381,8711.09,534501.400000000000,5.4500000000000000,8.7,7.15,NJ
3,2009-01-01,526653.583333333333,34.5,81999,8755.602,506850.750000000000,8.9583333333333333,9.4,7.15,NJ
4,2010-01-01,655919.500000000000,35.4,78415,8799.451,513917.950000000000,9.6583333333333333,10.2,7.25,NJ
5,2011-01-01,772694.000000000000,35.3,75258,8828.552,507604.000000000000,9.3500000000000000,10.4,7.25,NJ
6,2012-01-01,832795.416666666667,36.2,78845,8845.671,517195.850000000000,9.3833333333333333,10.7,7.25,NJ
7,2013-01-01,877022.583333333333,36.6,74271,8857.821,523725.825000000000,8.3750000000000000,11.4,7.25,NJ
8,2014-01-01,896747.250000000000,37.4,74740,8867.277,522166.475000000000,6.7333333333333333,11.1,8.25,NJ
9,2015-01-01,900883.333333333333,37.6,78173,8870.312,529953.750000000000,5.7166666666666667,10.8,8.38,NJ
10,2016-01-01,868032.750000000000,38.6,77303,8873.584,535055.275000000000,4.9416666666666667,10.4,8.38,NJ
11,2017-01-01,801126.666666666667,39.7,78739,8888.147,537578.550000000000,4.5333333333333333,10,8.44,NJ
12,2018-01-01,746441.333333333333,40.8,80033,8891.73,550059.525000000000,4.0000000000000000,9.5,8.6,NJ
13,2019-01-01,692303.916666666667,41.2,92969,8891.258,559648.750000000000,3.4583333333333333,9.1,10.0,NJ
14,2020-01-01,725515.833333333333,43.1,89543,9271.689,535323.775000000000,9.4250000000000000,9.4,11.0,NJ
15,2021-01-01,.,43.1,88559,9267.961,566893.200000000000,6.6250000000000000,10.2,12.0,NJ
