,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,242975.500000000000,25.3,53920,1962.137,86058.425000000000,4.2333333333333333,18.3,5.15,NM
1,2007-01-01,232142.750000000000,24.8,58103,1990.07,86738.725000000000,3.5916666666666667,17.9,5.15,NM
2,2008-01-01,247725.750000000000,24.7,53110,2010.662,86965.200000000000,4.3000000000000000,17.0,6.5,NM
3,2009-01-01,308529.750000000000,25.3,55118,2036.802,88069.950000000000,7.0500000000000000,18.2,7.5,NM
4,2010-01-01,372933.416666666667,25.0,56206,2064.614,87610.225000000000,7.7750000000000000,19.8,7.5,NM
5,2011-01-01,422017.500000000000,25.6,50683,2080.707,87592.925000000000,7.2166666666666667,20.9,7.5,NM
6,2012-01-01,440066.250000000000,26.1,51337,2087.715,87925.225000000000,6.9666666666666667,20.6,7.5,NM
7,2013-01-01,435818.333333333333,26.4,46792,2092.833,86856.600000000000,6.9083333333333333,21.4,7.5,NM
8,2014-01-01,436152.666666666667,26.4,53482,2090.236,88991.175000000000,6.5916666666666667,20.6,7.5,NM
9,2015-01-01,456775.916666666667,26.5,51598,2090.071,89701.300000000000,6.6000000000000000,19.8,7.5,NM
10,2016-01-01,472248.666666666667,27.2,54703,2092.555,89151.350000000000,6.7500000000000000,19.1,7.5,NM
11,2017-01-01,458553.166666666667,27.1,50401,2092.844,88962.875000000000,6.0416666666666667,19,7.5,NM
12,2018-01-01,454480.833333333333,27.7,52096,2093.754,90933.625000000000,4.9250000000000000,18.8,7.5,NM
13,2019-01-01,447398.500000000000,27.7,56287,2099.634,94897.425000000000,4.9583333333333333,17.5,7.5,NM
14,2020-01-01,479722.333333333333,30.1,53283,2118.39,92496.275000000000,7.9250000000000000,16.8,9.0,NM
15,2021-01-01,.,30.1,53463,2116.677,93625.050000000000,7.0583333333333333,17.7,10.5,NM
