,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,117683.666666666667,20.8,70427,2522.658,142967.050000000000,4.0666666666666667,10.5,5.15,NV
1,2007-01-01,126059.500000000000,21.8,70811,2601.072,144107.075000000000,4.5916666666666667,10.6,6.15,NV
2,2008-01-01,152950.500000000000,21.9,69057,2653.63,139954.250000000000,6.8833333333333333,11.2,6.33,NV
3,2009-01-01,221510.916666666667,21.8,65108,2684.665,128241.250000000000,11.7250000000000000,12.4,6.85,NV
4,2010-01-01,295042.083333333333,21.7,63760,2702.483,129828.375000000000,13.7333333333333333,14.8,7.55,NV
5,2011-01-01,340797.333333333333,22.5,56793,2713.114,130697.850000000000,13.3166666666666667,15.8,8.25,NV
6,2012-01-01,356642.750000000000,22.4,55958,2744.67,129312.900000000000,11.6083333333333333,16.2,8.25,NV
7,2013-01-01,363623.583333333333,22.5,60399,2776.956,129720.900000000000,9.9666666666666667,15.8,8.25,NV
8,2014-01-01,393094.500000000000,23.1,57135,2818.935,130897.350000000000,8.1583333333333333,15.4,8.25,NV
9,2015-01-01,428315.916666666667,23.6,59476,2868.531,136347.375000000000,6.8500000000000000,14.9,8.25,NV
10,2016-01-01,440319.333333333333,23.5,62583,2919.555,140081.200000000000,5.8083333333333333,14.1,8.25,NV
11,2017-01-01,440615.583333333333,24.9,64151,2972.097,145485.550000000000,4.9833333333333333,13.3,8.25,NV
12,2018-01-01,437071.500000000000,24.9,66749,3030.725,150448.000000000000,4.3833333333333333,13.1,8.25,NV
13,2019-01-01,419793.000000000000,25.7,75143,3090.771,156959.125000000000,4.1083333333333333,12.7,8.25,NV
14,2020-01-01,461386.250000000000,28.0,64020,3115.648,146492.525000000000,13.7000000000000000,12.5,9.0,NV
15,2021-01-01,.,27.6,64340,3146.402,159567.325000000000,6.9416666666666667,14.0,9.75,NV
