,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,1788832.916666666667,31.2,64958,19104.631,1199276.900000000000,4.5333333333333333,14.2,6.75,NY
1,2007-01-01,1813682.500000000000,31.7,64112,19132.335,1208564.650000000000,4.4333333333333333,13.8,7.15,NY
2,2008-01-01,2029589.333333333333,31.9,63655,19212.436,1190080.850000000000,5.4083333333333333,13.7,7.15,NY
3,2009-01-01,2445300.166666666667,32.4,63567,19307.066,1230672.300000000000,8.3666666666666667,14.2,7.15,NY
4,2010-01-01,2835074.750000000000,32.5,61993,19399.956,1277466.775000000000,8.7166666666666667,15.0,7.25,NY
5,2011-01-01,3029360.916666666667,32.9,61131,19499.921,1279527.100000000000,8.3583333333333333,16.1,7.25,NY
6,2012-01-01,3099642.583333333333,33.4,56368,19574.362,1328233.500000000000,8.6250000000000000,15.9,7.25,NY
7,2013-01-01,3173533.500000000000,34.1,58209,19626.488,1329376.300000000000,7.7916666666666667,16.0,7.25,NY
8,2014-01-01,3092073.333333333333,34.5,62216,19653.431,1353410.400000000000,6.2916666666666667,16.0,8.0,NY
9,2015-01-01,3019718.916666666667,35.0,66334,19657.321,1373642.975000000000,5.2333333333333333,15.5,8.75,NY
10,2016-01-01,2956395.250000000000,35.7,69364,19636.391,1403230.525000000000,4.8750000000000000,14.8,9.0,NY
11,2017-01-01,2883745.750000000000,36.0,68021,19593.849,1419112.075000000000,4.6333333333333333,14.1,9.7,NY
12,2018-01-01,2766204.083333333333,37.2,72586,19544.098,1458382.425000000000,4.1000000000000000,13.7,10.4,NY
13,2019-01-01,2627003.833333333333,37.8,76149,19463.131,1500833.400000000000,3.8500000000000000,13.1,11.1,NY
14,2020-01-01,2702129.833333333333,39.5,71865,20108.296,1432507.000000000000,9.8500000000000000,12.7,11.8,NY
15,2021-01-01,.,39.9,72920,19857.492,1514779.250000000000,7.0166666666666667,14.0,12.5,NY
