,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,56984.833333333333,27.5,63435,3670.883,166107.200000000000,5.3916666666666667,13.4,7.5,OR
1,2007-01-01,56010.000000000000,28.3,65805,3722.417,168975.150000000000,5.1583333333333333,13.0,7.8,OR
2,2008-01-01,57996.750000000000,28.1,65252,3768.748,173598.425000000000,6.2750000000000000,13.5,7.95,OR
3,2009-01-01,67438.916666666667,29.2,62151,3808.6,165527.200000000000,10.7916666666666667,14.3,8.4,OR
4,2010-01-01,78728.750000000000,28.8,63016,3837.614,169234.025000000000,10.6916666666666667,15.8,8.4,OR
5,2011-01-01,88329.583333333333,29.3,62205,3872.672,173831.725000000000,9.6083333333333333,17.3,8.5,OR
6,2012-01-01,91625.166666666667,29.9,61210,3900.102,174610.975000000000,8.8083333333333333,17.0,8.8,OR
7,2013-01-01,90709.916666666667,30.7,57082,3924.11,175933.800000000000,7.7500000000000000,16.5,8.95,OR
8,2014-01-01,85339.500000000000,30.8,67445,3965.447,181220.575000000000,6.6416666666666667,16.4,9.1,OR
9,2015-01-01,81389.500000000000,32.2,69569,4018.542,189946.550000000000,5.4666666666666667,15.2,9.25,OR
10,2016-01-01,83385.500000000000,32.7,66765,4093.271,198079.325000000000,4.7500000000000000,13.4,9.75,OR
11,2017-01-01,93798.500000000000,33.7,69077,4147.294,205524.000000000000,4.0583333333333333,13.2,10.25,OR
12,2018-01-01,87295.250000000000,34.0,74626,4183.538,214902.550000000000,4.0416666666666667,12.5,10.75,OR
13,2019-01-01,83984.666666666667,34.5,78860,4216.116,219588.000000000000,3.7250000000000000,11.5,11.25,OR
14,2020-01-01,82333.000000000000,36.3,80443,4244.795,215743.625000000000,7.6166666666666667,11.0,12.0,OR
15,2021-01-01,.,36.3,81855,4256.301,227979.075000000000,5.2083333333333333,12.2,12.75,OR
