,DATE,snap_recipients,bachelor,household_income,population,gdp,unemployment_rate,poverty,minimum_wage,state_abbrev
0,2006-01-01,1121802,25.4,65302,12510.809,597219.2,4.7083333333333333,12.0,5.15,PA
1,2007-01-01,1171858,25.8,63448,12563.937,617309.9,4.5583333333333333,11.6,6.25,PA
2,2008-01-01,1285078,26.3,64842,12612.285,629807.9,5.3500000000000000,12.1,7.15,PA
3,2009-01-01,1521979,26.4,60979,12666.858,610147.9,7.9750000000000000,12.5,7.15,PA
4,2010-01-01,1686558,27.1,60166,12711.406,627726.3,8.1666666666666667,13.4,7.25,PA
5,2011-01-01,1793280,27.0,60254,12747.052,637114.0,7.7416666666666667,13.7,7.25,PA
6,2012-01-01,1779463,27.8,61362,12769.123,647925.9,7.6583333333333333,13.7,7.25,PA
7,2013-01-01,1795656,28.7,64255,12779.538,655929.2,7.1000000000000000,13.7,7.25,PA
8,2014-01-01,1815216,29.0,63204,12792.392,669643.1,5.9333333333333333,13.6,7.25,PA
9,2015-01-01,1863359,29.7,69061,12789.838,682466.1,5.3916666666666667,13.1,7.25,PA
10,2016-01-01,1847222,30.8,68847,12788.468,688359.4,5.3416666666666667,12.9,7.25,PA
11,2017-01-01,1828626,31.4,67736,12794.679,694866.6,4.9750000000000000,12.5,7.25,PA
12,2018-01-01,1770165,31.8,69619,12809.107,704027.8,4.4166666666666667,12.2,7.25,PA
13,2019-01-01,1773406,32.3,74800,12798.883,715060.7,4.3250000000000000,12,7.25,PA
14,2020-01-01,1805217,34.0,74094,12994.44,680957.4,8.9166666666666667,10.9,7.25,PA
15,2021-01-01,,34.5,72627,13012.059,710973.1,6.0333333333333333,12.0,7.25,PA
