,DATE,snap_recipients,bachelor,household_income,poverty,population,gdp,unemployment_rate,minimum_wage,state_abbrev
0,2006-01-01,73224.500000000000,29.6,72386,11.5,1063.096,52899.6,5.2166666666666667,6.75,RI
1,2007-01-01,78049.750000000000,29.8,71010,11.9,1057.315,51469.1,5.1083333333333333,7.4,RI
2,2008-01-01,87412.166666666667,30.0,67161,12.1,1055.003,50575.2,7.6000000000000000,7.4,RI
3,2009-01-01,110988.583333333333,30.5,65362,12.0,1053.646,50004.3,11.3916666666666667,7.4,RI
4,2010-01-01,145892.250000000000,30.2,64287,14.1,1053.994,51332.8,11.6250000000000000,7.4,RI
5,2011-01-01,164120.166666666667,31.1,59196,14.7,1053.829,51279.6,11.0166666666666667,7.4,RI
6,2012-01-01,175023.916666666667,31.4,66281,14.2,1054.893,51583.0,10.2166666666666667,7.4,RI
7,2013-01-01,180356.916666666667,32.4,65614,14.7,1055.56,51910.8,9.4750000000000000,7.75,RI
8,2014-01-01,177608.166666666667,30.4,67168,14.8,1056.511,52293.4,7.7666666666666667,8.0,RI
9,2015-01-01,174192.916666666667,32.7,63699,14.1,1056.886,52819.1,6.0250000000000000,9.0,RI
10,2016-01-01,169785.666666666667,34.1,69467,13.3,1057.816,52902.6,5.2416666666666667,9.6,RI
11,2017-01-01,165860.333333333333,33.5,72285,12.3,1056.554,52691.8,4.5083333333333333,9.6,RI
12,2018-01-01,160862.583333333333,34.4,67183,12.8,1059.338,52553.3,4.0333333333333333,10.1,RI
13,2019-01-01,149707.333333333333,34.8,74344,11.6,1058.158,53411.4,3.5500000000000000,10.5,RI
14,2020-01-01,143927.583333333333,38.0,83918,10.6,1096.345,51516.1,9.2083333333333333,10.5,RI
15,2021-01-01,.,36.5,74982,12.1,1096.985,54606.0,5.5083333333333333,11.5,RI
