,DATE,snap_recipients,bachelor,household_income,poverty,minimum_wage,population,gdp,unemployment_rate,state_abbrev
0,2006-01-01,508072.583333333333,32.7,76943,9.6,5.15,7673.725,419870.625000000000,3.3416666666666667,VA
1,2007-01-01,519531.666666666667,33.6,77496,9.9,5.15,7751.0,424939.550000000000,3.2833333333333333,VA
2,2008-01-01,560870.666666666667,33.7,78192,10.2,5.85,7833.496,431216.700000000000,4.2750000000000000,VA
3,2009-01-01,691172.500000000000,34.0,76586,10.6,6.55,7925.937,427648.950000000000,6.8333333333333333,VA
4,2010-01-01,806895.250000000000,34.2,75176,11.1,7.25,8024.004,441242.375000000000,7.2916666666666667,VA
5,2011-01-01,874410.166666666667,35.1,75594,11.6,7.25,8102.437,444288.000000000000,6.5416666666666667,VA
6,2012-01-01,922150.416666666667,35.5,76409,11.8,7.25,8187.456,445973.625000000000,5.9500000000000000,VA
7,2013-01-01,942078.083333333333,36.1,76779,11.7,7.25,8255.861,449063.750000000000,5.5500000000000000,VA
8,2014-01-01,903865.750000000000,36.7,75785,11.8,7.25,8315.43,447678.100000000000,5.1166666666666667,VA
9,2015-01-01,850956.000000000000,37.0,70315,11.2,7.25,8367.303,455162.375000000000,4.3666666666666667,VA
10,2016-01-01,816323.833333333333,38.1,75025,11,7.25,8417.651,459965.825000000000,4.0000000000000000,VA
11,2017-01-01,762609.166666666667,38.7,78265,10.7,7.25,8471.011,467362.000000000000,3.6666666666666667,VA
12,2018-01-01,727155.500000000000,39.3,83243,10.7,7.25,8510.92,477915.200000000000,3.0083333333333333,VA
13,2019-01-01,699770.666666666667,39.6,86172,9.9,7.25,8556.642,489199.050000000000,2.7583333333333333,VA
14,2020-01-01,747390.166666666667,42.0,86053,9.2,7.25,8636.471,478909.350000000000,6.5083333333333333,VA
15,2021-01-01,.,41.8,80268,10.3,9.5,8657.365,505350.950000000000,3.8833333333333333,VA
