,DATE,snap_recipients,bachelor,household_income,poverty,minimum_wage,population,gdp,unemployment_rate,state_abbrev
0,2006-01-01,49148.000000000000,32.4,70022,10.2,7.25,622.892,27128.800000000000,3.7166666666666667,VT
1,2007-01-01,53096.750000000000,33.6,62077,10.1,7.53,623.481,26886.675000000000,3.9416666666666667,VT
2,2008-01-01,57745.666666666667,32.1,63964,10.4,7.68,624.151,27758.375000000000,4.5666666666666667,VT
3,2009-01-01,77635.916666666667,33.1,66227,11.5,8.06,624.817,27221.975000000000,6.1666666666666667,VT
4,2010-01-01,87040.416666666667,33.6,69648,12.4,8.06,625.886,28403.750000000000,6.3166666666666667,VT
5,2011-01-01,93465.500000000000,35.4,62611,11.9,8.15,627.197,29013.525000000000,5.5666666666666667,VT
6,2012-01-01,97794.333333333333,35.8,65710,11.9,8.46,626.361,29241.250000000000,4.8166666666666667,VT
7,2013-01-01,100386.000000000000,35.7,76320,12.3,8.6,626.603,28681.500000000000,4.4166666666666667,VT
8,2014-01-01,89980.666666666667,34.9,69545,12.0,8.73,625.693,28912.200000000000,3.9916666666666667,VT
9,2015-01-01,83683.500000000000,36.9,68037,10.4,9.15,625.81,29119.050000000000,3.5333333333333333,VT
10,2016-01-01,78777.250000000000,36.4,68687,11.3,9.6,624.366,29408.150000000000,3.1250000000000000,VT
11,2017-01-01,75707.250000000000,38.3,70385,10.8,10.0,625.132,29490.650000000000,3.0083333333333333,VT
12,2018-01-01,72157.833333333333,38.7,75599,10.7,10.5,624.802,29602.225000000000,2.4833333333333333,VT
13,2019-01-01,68424.833333333333,38.7,78746,10.1,10.78,624.046,29940.675000000000,2.1000000000000000,VT
14,2020-01-01,68888.333333333333,42.1,70398,9.4,10.96,642.893,29064.625000000000,5.7166666666666667,VT
15,2021-01-01,.,44.4,76079,10.2,11.75,646.972,30546.800000000000,3.7000000000000000,VT
