,DATE,snap_recipients,bachelor,household_income,poverty,minimum_wage,population,gdp,unemployment_rate,state_abbrev
0,2006-01-01,538152.833333333333,30.5,73715,,7.63,6370.753,353263.500000000000,5.0000000000000000,WA
1,2007-01-01,539157.416666666667,30.3,76080,,7.93,6461.587,373180.600000000000,4.6000000000000000,WA
2,2008-01-01,600169.000000000000,30.7,71438,,8.07,6562.231,381289.950000000000,5.2916666666666667,WA
3,2009-01-01,820915.833333333333,31.0,76448,,8.55,6667.426,370136.600000000000,8.2666666666666667,WA
4,2010-01-01,981085.833333333333,31.1,69941,,8.55,6743.009,380989.450000000000,9.1333333333333333,WA
5,2011-01-01,1073487.583333333333,31.9,68633,,8.67,6827.479,387745.225000000000,8.5250000000000000,WA
6,2012-01-01,1111529.333333333333,31.7,73519,,9.04,6898.599,400530.600000000000,7.6416666666666667,WA
7,2013-01-01,1109341.583333333333,32.7,74467,,9.19,6966.252,410873.875000000000,6.6333333333333333,WA
8,2014-01-01,1092073.916666666667,33.1,67666,,9.32,7057.531,424467.625000000000,5.9250000000000000,WA
9,2015-01-01,1055460.333333333333,34.2,76899,,9.47,7167.287,441952.075000000000,5.4333333333333333,WA
10,2016-01-01,988778.916666666667,35.1,79382,,9.47,7299.961,458263.775000000000,5.2250000000000000,WA
11,2017-01-01,915760.916666666667,35.5,79071,,11.0,7427.951,482007.050000000000,4.6416666666666667,WA
12,2018-01-01,864784.166666666667,36.7,86021,,11.5,7526.793,515029.075000000000,4.4250000000000000,WA
13,2019-01-01,813505.250000000000,37.0,87381,,12.0,7614.024,533150.425000000000,4.2333333333333333,WA
14,2020-01-01,907106.166666666667,38.4,85157,,13.5,7724.031,538856.050000000000,8.4500000000000000,WA
15,2021-01-01,.,39.0,87648,,13.69,7740.745,575129.000000000000,5.2083333333333333,WA
