year,population,gdp,unemployment_rate,snap_recipients,bachelor,household_income,poverty,minimum_wage,state_abbrev
1984,513.702,,9.891666667,20675.25,,80587,,3.85,AK
1985,532.495,,9.841666667,23713.58333,,83754,,3.85,AK
1986,544.268,,11.1,29079.91667,,74205,,3.85,AK
1987,539.309,,10.14166667,31283,,76032,,3.85,AK
1988,541.983,,8.733333333,27715,,73094,,3.85,AK
1989,547.159,,7.1,25718.08333,,76174,10.6,3.85,AK
1990,553.12,,7.258333333,25684.5,,79231,.,3.85,AK
1991,569.273,,8.341666667,32205.41667,,79006,.,4.3,AK
1992,587.073,,8.858333333,39186.91667,,79348,.,4.75,AK
1993,596.993,,7.8,44013.16667,,79487,11.2,4.75,AK
1994,600.624,,7.616666667,44188.5,,82279,.,4.75,AK
1995,601.345,,7.325,45303.5,,84925,10.1,4.75,AK
1996,604.918,,7.425,46545.5,,91045,10.6,4.75,AK
1997,608.846,,6.933333333,44548.58333,,81039,11.2,5.25,AK
1998,615.205,,6.325,42284.58333,,84451,10.8,5.65,AK
1999,619.5,,6.408333333,40602.08333,,83839,8.8,5.65,AK
2000,627.963,,6.316666667,37314.66667,,83377,8.5,5.65,AK
2001,633.714,,6.283333333,40628.75,,87996,8.7,5.65,AK
2002,642.337,,7.166666667,47798.08333,,79700,9.3,5.65,AK
2003,648.414,,7.683333333,47619.08333,,76547,9.8,7.15,AK
2004,659.286,,7.416666667,53084.66667,,79172,10,7.15,AK
2005,666.946,45657.05,6.933333333,55983.91667,,77729,10.8,7.15,AK
2006,675.302,49190.175,6.633333333,56984.83333,26.9,75999,10.9,7.15,AK
2007,680.3,51720.95,6.258333333,56010,26,82515,9.8,7.15,AK
2008,687.455,51252.075,6.475,57996.75,27.3,80720,9.2,7.15,AK
2009,698.895,56215.125,7.983333333,67438.91667,26.6,77982,9.1,7.15,AK
2010,713.982,54601.5,8.133333333,78728.75,27.9,72039,11,7.75,AK
2011,722.349,55280.35,7.733333333,88329.58333,26.4,69334,10.8,7.75,AK
2012,730.81,58283.65,7.25,91625.16667,28,75246,10.8,7.75,AK
2013,737.626,55354.3,6.991666667,90709.91667,28,84427,10.1,7.75,AK
2014,737.075,54188.225,6.741666667,85339.5,28,77473,11.4,7.75,AK
2015,738.43,54740.85,6.275,81389.5,29.7,85898,10.4,8.75,AK
2016,742.575,54246.625,6.6,83385.5,29.6,85494,9.9,9.75,AK
2017,740.983,54278.675,6.508333333,93798.5,28.8,86196,11,9.8,AK
2018,736.624,53326.975,6.041666667,87295.25,30.2,74161,11.1,9.84,AK
2019,733.603,53433.8,5.591666667,83984.66667,30.2,83079,10.2,9.89,AK
2020,732.923,50705.175,8.308333333,82333,31.9,78236,9.6,10.19,AK
2021,734.182,50869.4,6.433333333,.,32.8,81133,10.8,10.34,AK
1984,2319.768,,8.533333333,285747.6667,,39038,,2.7,AR
1985,2327.046,,8.491666667,247358.8333,,42021,,2.7,AR
1986,2331.984,,8.541666667,242095.9167,,44325,,2.7,AR
1987,2342.355,,8.141666667,236292.5833,,43073,,2.7,AR
1988,2342.656,,7.7,229511.8333,,44541,,3.25,AR
1989,2346.358,,7.041666667,227908.5833,,45343,17.9,3.25,AR
1990,2354.343,,6.875,239515.75,,45940,.,3.25,AR
1991,2370.666,,7.308333333,263113.5,,45590,.,3.35,AR
1992,2394.098,,7,280935.4167,,45333,.,3.65,AR
1993,2423.743,,6.133333333,285149.3333,,42657,18.9,3.65,AR
1994,2450.605,,5.441666667,280091.5,,46366,.,4.25,AR
1995,2480.121,,4.866666667,270909,,45716,18.2,4.25,AR
1996,2504.858,,5.166666667,274982.1667,,46788,17.6,4.25,AR
1997,2524.007,,5.108333333,261421.8333,,44175,17.5,4.25,AR
1998,2538.202,,5.05,255421.3333,,46089,16.4,5.15,AR
1999,2551.373,,4.533333333,251255.25,,48418,15.1,5.15,AR
2000,2678.588,,4.175,246862.75,,46853,15,5.15,AR
2001,2691.571,,4.758333333,262971.6667,,51143,15.9,5.15,AR
2002,2705.927,,5.333333333,289922.5833,,48911,16.3,5.15,AR
2003,2724.816,,5.758333333,317268.4167,,47257,16,5.15,AR
2004,2749.686,,5.583333333,356893.1667,,50301,15.6,5.15,AR
2005,2781.097,105979.95,5.258333333,376766.4167,,50981,17.2,5.15,AR
2006,2821.761,108460.575,5.25,383219,18.2,49918,17.3,5.15,AR
2007,2848.65,107606.1,5.391666667,377712.1667,19.3,53438,17.6,6.25,AR
2008,2874.554,106536.475,5.441666667,382251.0833,18.8,49936,17.3,6.25,AR
2009,2896.843,102996.6,7.725,427840.3333,18.9,46252,18.5,6.25,AR
2010,2921.998,105662.025,7.858333333,474072.5,19.5,48053,18.7,6.25,AR
2011,2941.038,107932.55,7.908333333,490875.9167,20.3,49862,19.3,6.25,AR
2012,2952.876,108492.05,7.266666667,503270.9167,21,46128,19.6,6.25,AR
2013,2960.459,110752.4,7.041666667,502552.5833,20.6,45872,19.4,6.25,AR
2014,2968.759,111734.5,5.9,487447.5833,21.4,51461,18.7,6.25,AR
2015,2979.732,112350.975,4.95,461715.8333,21.8,48944,18.7,7.5,AR
2016,2991.815,112798.125,3.983333333,412663.8333,22.4,51830,17.2,8,AR
2017,3003.855,113850.25,3.741666667,384349.4167,23.4,54988,16.3,8.5,AR
2018,3012.161,115885.225,3.658333333,367410.4167,23.3,53712,16.8,8.5,AR
2019,3020.985,117126.175,3.491666667,351097.8333,23.3,57799,16,9.25,AR
2020,3014.195,117268.15,6.2,372865.8333,24.9,53148,15.2,10,AR
2021,3028.122,123347.325,4.075,.,25.3,50784,16,11,AR
1984,3067.135,,4.958333333,220185.3333,,53362,,,AZ
1985,3183.538,,6.358333333,199493.5833,,57495,,,AZ
1986,3308.262,,7.05,196413,,60347,,,AZ
1987,3437.103,,6.508333333,205785.9167,,61198,,,AZ
1988,3535.183,,6.408333333,237263.75,,58371,,,AZ
1989,3622.185,,5.241666667,274610.0833,,60404,14.7,,AZ
1990,3679.056,,5.216666667,334127.6667,,58921,.,,AZ
1991,3762.394,,5.858333333,408050.5833,,59796,.,,AZ
1992,3867.333,,7.566666667,465913.8333,,55727,.,,AZ
1993,3993.39,,6.366666667,498743.5,,56490,18.5,,AZ
1994,4147.561,,6.191666667,508753.75,,56754,.,,AZ
1995,4306.908,,5.3,462451,,54658,16.3,,AZ
1996,4432.308,,5.491666667,419128.5833,,54575,16.3,,AZ
1997,4552.207,,4.625,343877.9167,,55283,15.5,,AZ
1998,4667.277,,4.275,281227.6667,,61791,14.9,,AZ
1999,4778.332,,4.458333333,256433.3333,,60348,12.8,,AZ
2000,5160.586,,3.983333333,262330.75,,62766,12.5,,AZ
2001,5273.477,,4.725,310545.25,,65509,13.2,,AZ
2002,5396.255,,6.141666667,399572.5,,60007,13.6,,AZ
2003,5510.364,,5.783333333,492483.8333,,60789,13.9,,AZ
2004,5652.404,,4.966666667,534333.3333,,63043,14.6,,AZ
2005,5839.077,262325.975,4.666666667,551268,,62924,14.4,,AZ
2006,6029.141,274179.425,4.308333333,535997.0833,25.5,62850,14.2,,AZ
2007,6167.681,283250.75,3.75,558263.4167,25.3,61848,14.1,6.75,AZ
2008,6280.362,280810.05,5.791666667,660820.5833,25.1,59180,14.7,6.9,AZ
2009,6343.154,257498.475,9.666666667,879994,25.6,57899,16.5,7.25,AZ
2010,6407.342,260307.125,10.3,1034267.167,25.9,58400,17.6,7.25,AZ
2011,6473.416,266101.525,9.433333333,1088957.417,26.6,58698,19,7.35,AZ
2012,6556.344,271440.025,8.35,1122238.917,27.3,55616,18.7,7.65,AZ
2013,6634.69,273481.875,7.816666667,1096706.333,27.4,61290,18.6,7.8,AZ
2014,6732.873,276948.95,6.791666667,1031904.167,27.6,56424,18.2,7.9,AZ
2015,6832.81,282576.975,6.075,987061.4167,27.7,59751,17.4,8.05,AZ
2016,6944.767,291275.225,5.483333333,952900.25,28.9,64468,16.4,8.05,AZ
2017,7048.088,303606.05,4.975,900287.75,29.4,65984,14.9,10,AZ
2018,7164.228,314827.425,4.808333333,831409.75,29.7,67201,14.1,10.5,AZ
2019,7291.843,325395.275,4.808333333,786109.0833,30.2,74897,13.5,11,AZ
2020,7179.943,327178.025,7.841666667,845480,33,70220,12.8,12,AZ
2021,7264.877,347655.975,5.075,.,32.4,70821,12.9,12.15,AZ
1984,25844.393,,7.758333333,1647998.083,,62981,,3.35,CA
1985,26441.109,,7.183333333,1613099.917,,64969,,3.35,CA
1986,27102.237,,6.766666667,1629150,,68654,,3.35,CA
1987,27777.158,,5.825,1630587.167,,68969,,3.35,CA
1988,28464.249,,5.275,1690491,,66876,,3.35,CA
1989,29218.164,,5.091666667,1813254.167,,69833,12.7,3.35,CA
1990,29950.111,,5.791666667,1986976.167,,67118,.,3.35,CA
1991,30414.114,,7.825,2300989.5,,65490,.,4.25,CA
1992,30875.92,,9.35,2622444.333,,66253,.,4.25,CA
1993,31147.208,,9.533333333,2951449.75,,63086,17.4,4.25,CA
1994,31317.179,,8.65,3147999.25,,64078,.,4.25,CA
1995,31493.525,,7.891666667,3186375,,65542,16.5,4.25,CA
1996,31780.829,,7.35,3085164.083,,66952,16.7,4.25,CA
1997,32217.708,,6.408333333,2673251.5,,67025,16,4.75,CA
1998,32682.794,,5.933333333,2178820.583,,68195,14.9,5.15,CA
1999,33145.121,,5.266666667,1980579.5,,71169,13.7,5.15,CA
2000,33987.977,,4.925,1782805.833,,73862,12.7,5.75,CA
2001,34479.458,,5.466666667,1663457.667,,72501,12.9,6.25,CA
2002,34871.843,,6.758333333,1698661.583,,71640,13.3,6.75,CA
2003,35253.159,,6.891666667,1733396.833,,72801,13.7,6.75,CA
2004,35574.576,,6.216666667,1909567.25,,70773,13.2,6.75,CA
2005,35827.943,1926842.075,5.383333333,1999161.583,,71977,13.3,6.75,CA
2006,36021.202,2002437.425,4.916666667,2005421.917,29,74518,13.1,6.75,CA
2007,36250.311,2041192.175,5.308333333,2074381.417,29.5,73007,12.4,7.5,CA
2008,36604.337,2061638.775,7.3,2300892.917,29.6,71921,13.3,8,CA
2009,36961.229,1995439.675,11.54166667,2823025.917,29.9,71058,14.2,8,CA
2010,37319.55,2036015.05,12.45833333,3357445.667,30.1,67600,15.8,8,CA
2011,37636.311,2063827.5,11.89166667,3760865.583,30.3,64428,16.6,8,CA
2012,37944.551,2113096.45,10.525,4022281.167,30.9,67410,17,8,CA
2013,38253.768,2179228.975,9.033333333,4197569.25,31,70823,16.8,8,CA
2014,38586.706,2256054.725,7.566666667,4384201.5,31.7,69292,16.4,9,CA
2015,38904.296,2357452.925,6.225,4422455.75,32.3,72774,15.4,9,CA
2016,39149.186,2427894.575,5.516666667,4288125.917,32.9,75235,14.4,10,CA
2017,39337.785,2538204.05,4.833333333,4065284.833,33.6,77410,13.3,10.5,CA
2018,39437.463,2644061.175,4.258333333,3891812.083,34.2,76055,12.8,11,CA
2019,39437.61,2729225.825,4.1,3848877,35,82772,11.8,12,CA
2020,39501.653,2667220.925,10.2,4371406,36.9,81278,11.5,12,CA
2021,39142.991,2874730.8,7.325,.,36.2,81575,12.3,13,CA
1984,3169.992,,5.491666667,177508.9167,,64261,,1.9,CO
1985,3208.723,,5.983333333,171059.5,,67861,,1.9,CO
1986,3237.45,,7.516666667,183771.0833,,64351,,1.9,CO
1987,3260.48,,7.541666667,197247.3333,,60573,,1.9,CO
1988,3262.281,,6.416666667,206468.75,,57883,,3,CO
1989,3275.818,,5.583333333,212501.6667,,56710,11.7,3,CO
1990,3303.862,,5.133333333,226673.3333,,61963,.,3,CO
1991,3367.567,,5.283333333,245118.75,,61278,.,3,CO
1992,3459.995,,6.091666667,264484.4167,,61661,.,3,CO
1993,3560.884,,5.383333333,272943.3333,,63855,11.7,3,CO
1994,3653.91,,4.141666667,265136.1667,,68615,.,3,CO
1995,3738.061,,4.025,247894.3333,,72089,10.4,3,CO
1996,3812.716,,4.166666667,240771.75,,70640,10.5,3,CO
1997,3891.293,,3.358333333,208893.8333,,73000,10.2,4.75,CO
1998,3968.967,,3.616666667,186290,,77633,9.9,5.15,CO
1999,4056.133,,3.016666667,168205.4167,,78588,8.9,5.15,CO
2000,4326.921,,2.741666667,153268.0833,,76108,8.9,5.15,CO
2001,4425.687,,3.816666667,158617.8333,,75776,8.7,5.15,CO
2002,4490.406,,5.683333333,184631,,72935,9.5,5.15,CO
2003,4528.732,,6.108333333,217686.4167,,73746,10,5.15,CO
2004,4575.013,,5.566666667,244287.4167,,73166,10.2,5.15,CO
2005,4631.888,251558.425,5.075,248504.25,,70161,10.9,5.15,CO
2006,4720.423,257430.175,4.275,254650.1667,34.3,75027,11.6,5.15,CO
2007,4803.868,266887.475,3.7,249264.5833,35,80089,11.5,6.85,CO
2008,4889.73,270981.4,4.875,261437.5833,35.6,76877,11.2,7.02,CO
2009,4972.195,264966.275,7.875,344095.1667,35.9,70800,12.6,7.28,CO
2010,5047.539,267858.9,9.141666667,418300.75,36.4,75009,13.2,7.24,CO
2011,5121.9,271700.65,8.691666667,465191.75,36.7,70781,13.4,7.36,CO
2012,5193.66,276823.15,8,497317.4167,37.5,67688,13.6,7.64,CO
2013,5270.774,286259.075,6.75,507566.1667,37.8,79115,12.9,7.78,CO
2014,5352.637,298655.25,4.983333333,504425.9167,38.3,69811,12.1,8,CO
2015,5454.328,312409.65,3.741666667,489905.5,39.2,76159,11.5,8.23,CO
2016,5543.844,318953.35,3.133333333,472022.6667,39.9,79671,11,8.31,CO
2017,5617.421,329913.275,2.608333333,455335.9167,41.2,82877,10.3,9.3,CO
2018,5697.155,342733.15,3.05,452202.25,41.7,78801,9.7,10.2,CO
2019,5758.486,358438.475,2.666666667,445009.0833,42.7,76832,9.4,11.1,CO
2020,5784.865,353345.175,6.766666667,497120.5833,44.2,87689,9,12,CO
2021,5811.297,373763.325,5.458333333,.,44.4,84954,9.7,12.32,CO
1984,3180.014,,4.65,153860.75,,74597,,3.37,CT
1985,3201.131,,4.391666667,141583.5833,,74864,,3.37,CT
1986,3223.74,,3.758333333,127031.6667,,77436,,3.37,CT
1987,3247.291,,3.133333333,113163.9167,,75183,,3.37,CT
1988,3271.953,,2.875,108469.8333,,79961,,3.75,CT
1989,3283.403,,3.6,117053.8333,,89534,7,3.75,CT
1990,3289.056,,4.933333333,141577.5,,78369,.,3.75,CT
1991,3288.64,,6.55,181611.75,,82006,.,4.25,CT
1992,3274.997,,7.333333333,206409.0833,,77524,.,4.27,CT
1993,3272.325,,6.483333333,217436.75,,73164,9.2,4.27,CT
1994,3268.346,,5.541666667,223716.0833,,74535,.,4.27,CT
1995,3265.293,,5.308333333,225843.8333,,71269,8.3,4.27,CT
1996,3267.03,,5.2,220658.4167,,72657,9,4.27,CT
1997,3268.514,,4.683333333,206234,,74270,8.9,4.77,CT
1998,3272.563,,3.241666667,191479.1667,,77481,8.7,5.18,CT
1999,3282.031,,2.458333333,174069.5833,,82529,7.5,5.18,CT
2000,3411.777,,2.108333333,162203,,79156,7.3,6.15,CT
2001,3432.835,,2.875,158231.25,,81836,7.1,6.4,CT
2002,3458.749,,4.4,172036.5833,,80626,7.8,6.7,CT
2003,3484.336,,5.45,184524.0833,,81166,8,6.9,CT
2004,3496.094,,5.091666667,198703.4167,,79225,9.1,7.1,CT
2005,3506.956,238549.55,4.8,205916.25,,79042,8.3,7.1,CT
2006,3517.46,248233.825,4.425,210916.5,33.7,84062,8.3,7.4,CT
2007,3527.27,257953.025,4.45,214819.8333,34.7,84019,7.9,7.65,CT
2008,3545.579,257755.975,5.65,230358.0833,35.6,81594,9.1,7.65,CT
2009,3561.807,244894.775,8.325,276179.5833,35.6,82092,9.3,8,CT
2010,3579.173,244354.725,9.558333333,350411.8333,35.5,82189,10.1,8.25,CT
2011,3588.632,238542.4,9.016666667,386327.0833,36.2,78973,10.8,8.25,CT
2012,3595.211,240911.9,8.358333333,408307,37.1,75954,10.6,8.25,CT
2013,3595.792,236050.65,7.95,429556.5,37.2,80721,10.7,8.25,CT
2014,3595.697,235780.925,6.616666667,441378.3333,38,80374,10.8,8.7,CT
2015,3588.561,242706.55,5.616666667,440430.5,38.3,83355,10.6,9.15,CT
2016,3579.83,243286.675,4.866666667,427123.25,38.6,85720,9.9,9.6,CT
2017,3575.324,247035.9,4.416666667,404902.75,38.7,82125,9.7,10.1,CT
2018,3574.561,249074.75,3.883333333,380251.9167,39.6,78561,10.3,10.1,CT
2019,3566.022,251568.225,3.608333333,365170.25,39.8,92507,9.9,11,CT
2020,3597.362,235234.9,7.966666667,372516.9167,42.4,83141,9.7,12,CT
2021,3623.355,246555.85,6.291666667,.,42.1,80958,10.1,13,CT
1984,633.382,,8.883333333,76761.08333,,50829,,3.75,DC
1985,634.549,,7.966666667,71471.91667,,50750,,3.75,DC
1986,638.269,,7.366666667,66851.83333,,57559,,3.75,DC
1987,636.93,,6.266666667,59627,,62813,,3.75,DC
1988,630.432,,5.025,59094.66667,,59046,,4.85,DC
