DATE,MEHOINUSAKA672N
1984-01-01,80587
1985-01-01,83754
1986-01-01,74205
1987-01-01,76032
1988-01-01,73094
1989-01-01,76174
1990-01-01,79231
1991-01-01,79006
1992-01-01,79348
1993-01-01,79487
1994-01-01,82279
1995-01-01,84925
1996-01-01,91045
1997-01-01,81039
1998-01-01,84451
1999-01-01,83839
2000-01-01,83377
2001-01-01,87996
2002-01-01,79700
2003-01-01,76547
2004-01-01,79172
2005-01-01,77729
2006-01-01,75999
2007-01-01,82515
2008-01-01,80720
2009-01-01,77982
2010-01-01,72039
2011-01-01,69334
2012-01-01,75246
2013-01-01,84427
2014-01-01,77473
2015-01-01,85898
2016-01-01,85494
2017-01-01,86196
2018-01-01,74161
2019-01-01,83079
2020-01-01,78236
2021-01-01,81133
