DATE,PPAAAK02000A156NCEN
1989-01-01,10.6
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,11.2
1994-01-01,.
1995-01-01,10.1
1996-01-01,10.6
1997-01-01,11.2
1998-01-01,10.8
1999-01-01,8.8
2000-01-01,8.5
2001-01-01,8.7
2002-01-01,9.3
2003-01-01,9.8
2004-01-01,10.0
2005-01-01,10.8
2006-01-01,10.9
2007-01-01,9.8
2008-01-01,9.2
2009-01-01,9.1
2010-01-01,11.0
2011-01-01,10.8
2012-01-01,10.8
2013-01-01,10.1
2014-01-01,11.4
2015-01-01,10.4
2016-01-01,9.9
2017-01-01,11
2018-01-01,11.1
2019-01-01,10.2
2020-01-01,9.6
2021-01-01,10.8
