DATE,AKRQGSP
2005-01-01,45657.050000000000
2006-01-01,49190.175000000000
2007-01-01,51720.950000000000
2008-01-01,51252.075000000000
2009-01-01,56215.125000000000
2010-01-01,54601.500000000000
2011-01-01,55280.350000000000
2012-01-01,58283.650000000000
2013-01-01,55354.300000000000
2014-01-01,54188.225000000000
2015-01-01,54740.850000000000
2016-01-01,54246.625000000000
2017-01-01,54278.675000000000
2018-01-01,53326.975000000000
2019-01-01,53433.800000000000
2020-01-01,50705.175000000000
2021-01-01,50869.400000000000
2022-01-01,49633.650000000000
2023-01-01,.
