DATE,BRAK02M647NCEN
1981-01-01,31811.000000000000
1982-01-01,28269.916666666667
1983-01-01,24018.666666666667
1984-01-01,20675.250000000000
1985-01-01,23713.583333333333
1986-01-01,29079.916666666667
1987-01-01,31283.000000000000
1988-01-01,27715.000000000000
1989-01-01,25718.083333333333
1990-01-01,25684.500000000000
1991-01-01,32205.416666666667
1992-01-01,39186.916666666667
1993-01-01,44013.166666666667
1994-01-01,44188.500000000000
1995-01-01,45303.500000000000
1996-01-01,46545.500000000000
1997-01-01,44548.583333333333
1998-01-01,42284.583333333333
1999-01-01,40602.083333333333
2000-01-01,37314.666666666667
2001-01-01,40628.750000000000
2002-01-01,47798.083333333333
2003-01-01,47619.083333333333
2004-01-01,53084.666666666667
2005-01-01,55983.916666666667
2006-01-01,56984.833333333333
2007-01-01,56010.000000000000
2008-01-01,57996.750000000000
2009-01-01,67438.916666666667
2010-01-01,78728.750000000000
2011-01-01,88329.583333333333
2012-01-01,91625.166666666667
2013-01-01,90709.916666666667
2014-01-01,85339.500000000000
2015-01-01,81389.500000000000
2016-01-01,83385.500000000000
2017-01-01,93798.500000000000
2018-01-01,87295.250000000000
2019-01-01,83984.666666666667
2020-01-01,82333.000000000000
2021-01-01,.
