DATE,MEHOINUSAZA672N
1984-01-01,53362
1985-01-01,57495
1986-01-01,60347
1987-01-01,61198
1988-01-01,58371
1989-01-01,60404
1990-01-01,58921
1991-01-01,59796
1992-01-01,55727
1993-01-01,56490
1994-01-01,56754
1995-01-01,54658
1996-01-01,54575
1997-01-01,55283
1998-01-01,61791
1999-01-01,60348
2000-01-01,62766
2001-01-01,65509
2002-01-01,60007
2003-01-01,60789
2004-01-01,63043
2005-01-01,62924
2006-01-01,62850
2007-01-01,61848
2008-01-01,59180
2009-01-01,57899
2010-01-01,58400
2011-01-01,58698
2012-01-01,55616
2013-01-01,61290
2014-01-01,56424
2015-01-01,59751
2016-01-01,64468
2017-01-01,65984
2018-01-01,67201
2019-01-01,74897
2020-01-01,70220
2021-01-01,70821
