DATE,PPAAAZ04000A156NCEN
1989-01-01,14.7
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,18.5
1994-01-01,.
1995-01-01,16.3
1996-01-01,16.3
1997-01-01,15.5
1998-01-01,14.9
1999-01-01,12.8
2000-01-01,12.5
2001-01-01,13.2
2002-01-01,13.6
2003-01-01,13.9
2004-01-01,14.6
2005-01-01,14.4
2006-01-01,14.2
2007-01-01,14.1
2008-01-01,14.7
2009-01-01,16.5
2010-01-01,17.6
2011-01-01,19.0
2012-01-01,18.7
2013-01-01,18.6
2014-01-01,18.2
2015-01-01,17.4
2016-01-01,16.4
2017-01-01,14.9
2018-01-01,14.1
2019-01-01,13.5
2020-01-01,12.8
2021-01-01,12.9
