DATE,AZRQGSP
2005-01-01,262325.975000000000
2006-01-01,274179.425000000000
2007-01-01,283250.750000000000
2008-01-01,280810.050000000000
2009-01-01,257498.475000000000
2010-01-01,260307.125000000000
2011-01-01,266101.525000000000
2012-01-01,271440.025000000000
2013-01-01,273481.875000000000
2014-01-01,276948.950000000000
2015-01-01,282576.975000000000
2016-01-01,291275.225000000000
2017-01-01,303606.050000000000
2018-01-01,314827.425000000000
2019-01-01,325395.275000000000
2020-01-01,327178.025000000000
2021-01-01,347655.975000000000
2022-01-01,356417.050000000000
2023-01-01,.
