DATE,BRAZ04M647NCEN
1981-01-01,206041.166666666667
1982-01-01,221344.166666666667
1983-01-01,227711.583333333333
1984-01-01,220185.333333333333
1985-01-01,199493.583333333333
1986-01-01,196413.000000000000
1987-01-01,205785.916666666667
1988-01-01,237263.750000000000
1989-01-01,274610.083333333333
1990-01-01,334127.666666666667
1991-01-01,408050.583333333333
1992-01-01,465913.833333333333
1993-01-01,498743.500000000000
1994-01-01,508753.750000000000
1995-01-01,462451.000000000000
1996-01-01,419128.583333333333
1997-01-01,343877.916666666667
1998-01-01,281227.666666666667
1999-01-01,256433.333333333333
2000-01-01,262330.750000000000
2001-01-01,310545.250000000000
2002-01-01,399572.500000000000
2003-01-01,492483.833333333333
2004-01-01,534333.333333333333
2005-01-01,551268.000000000000
2006-01-01,535997.083333333333
2007-01-01,558263.416666666667
2008-01-01,660820.583333333333
2009-01-01,879994.000000000000
2010-01-01,1034267.166666666667
2011-01-01,1088957.416666666667
2012-01-01,1122238.916666666667
2013-01-01,1096706.333333333333
2014-01-01,1031904.166666666667
2015-01-01,987061.416666666667
2016-01-01,952900.250000000000
2017-01-01,900287.750000000000
2018-01-01,831409.750000000000
2019-01-01,786109.083333333333
2020-01-01,845480.000000000000
2021-01-01,.
