DATE,MEHOINUSARA672N
1984-01-01,39038
1985-01-01,42021
1986-01-01,44325
1987-01-01,43073
1988-01-01,44541
1989-01-01,45343
1990-01-01,45940
1991-01-01,45590
1992-01-01,45333
1993-01-01,42657
1994-01-01,46366
1995-01-01,45716
1996-01-01,46788
1997-01-01,44175
1998-01-01,46089
1999-01-01,48418
2000-01-01,46853
2001-01-01,51143
2002-01-01,48911
2003-01-01,47257
2004-01-01,50301
2005-01-01,50981
2006-01-01,49918
2007-01-01,53438
2008-01-01,49936
2009-01-01,46252
2010-01-01,48053
2011-01-01,49862
2012-01-01,46128
2013-01-01,45872
2014-01-01,51461
2015-01-01,48944
2016-01-01,51830
2017-01-01,54988
2018-01-01,53712
2019-01-01,57799
2020-01-01,53148
2021-01-01,50784
