DATE,PPAAAR05000A156NCEN
1989-01-01,17.9
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,18.9
1994-01-01,.
1995-01-01,18.2
1996-01-01,17.6
1997-01-01,17.5
1998-01-01,16.4
1999-01-01,15.1
2000-01-01,15.0
2001-01-01,15.9
2002-01-01,16.3
2003-01-01,16.0
2004-01-01,15.6
2005-01-01,17.2
2006-01-01,17.3
2007-01-01,17.6
2008-01-01,17.3
2009-01-01,18.5
2010-01-01,18.7
2011-01-01,19.3
2012-01-01,19.6
2013-01-01,19.4
2014-01-01,18.7
2015-01-01,18.7
2016-01-01,17.2
2017-01-01,16.3
2018-01-01,16.8
2019-01-01,16
2020-01-01,15.2
2021-01-01,16.0
