DATE,ARRQGSP
2005-01-01,105979.950000000000
2006-01-01,108460.575000000000
2007-01-01,107606.100000000000
2008-01-01,106536.475000000000
2009-01-01,102996.600000000000
2010-01-01,105662.025000000000
2011-01-01,107932.550000000000
2012-01-01,108492.050000000000
2013-01-01,110752.400000000000
2014-01-01,111734.500000000000
2015-01-01,112350.975000000000
2016-01-01,112798.125000000000
2017-01-01,113850.250000000000
2018-01-01,115885.225000000000
2019-01-01,117126.175000000000
2020-01-01,117268.150000000000
2021-01-01,123347.325000000000
2022-01-01,126532.125000000000
2023-01-01,.
