DATE,BRAR05M647NCEN
1981-01-01,302702.083333333333
1982-01-01,307282.583333333333
1983-01-01,310567.166666666667
1984-01-01,285747.666666666667
1985-01-01,247358.833333333333
1986-01-01,242095.916666666667
1987-01-01,236292.583333333333
1988-01-01,229511.833333333333
1989-01-01,227908.583333333333
1990-01-01,239515.750000000000
1991-01-01,263113.500000000000
1992-01-01,280935.416666666667
1993-01-01,285149.333333333333
1994-01-01,280091.500000000000
1995-01-01,270909.000000000000
1996-01-01,274982.166666666667
1997-01-01,261421.833333333333
1998-01-01,255421.333333333333
1999-01-01,251255.250000000000
2000-01-01,246862.750000000000
2001-01-01,262971.666666666667
2002-01-01,289922.583333333333
2003-01-01,317268.416666666667
2004-01-01,356893.166666666667
2005-01-01,376766.416666666667
2006-01-01,383219.000000000000
2007-01-01,377712.166666666667
2008-01-01,382251.083333333333
2009-01-01,427840.333333333333
2010-01-01,474072.500000000000
2011-01-01,490875.916666666667
2012-01-01,503270.916666666667
2013-01-01,502552.583333333333
2014-01-01,487447.583333333333
2015-01-01,461715.833333333333
2016-01-01,412663.833333333333
2017-01-01,384349.416666666667
2018-01-01,367410.416666666667
2019-01-01,351097.833333333333
2020-01-01,372865.833333333333
2021-01-01,.
