DATE,MEHOINUSCAA672N
1984-01-01,62981
1985-01-01,64969
1986-01-01,68654
1987-01-01,68969
1988-01-01,66876
1989-01-01,69833
1990-01-01,67118
1991-01-01,65490
1992-01-01,66253
1993-01-01,63086
1994-01-01,64078
1995-01-01,65542
1996-01-01,66952
1997-01-01,67025
1998-01-01,68195
1999-01-01,71169
2000-01-01,73862
2001-01-01,72501
2002-01-01,71640
2003-01-01,72801
2004-01-01,70773
2005-01-01,71977
2006-01-01,74518
2007-01-01,73007
2008-01-01,71921
2009-01-01,71058
2010-01-01,67600
2011-01-01,64428
2012-01-01,67410
2013-01-01,70823
2014-01-01,69292
2015-01-01,72774
2016-01-01,75235
2017-01-01,77410
2018-01-01,76055
2019-01-01,82772
2020-01-01,81278
2021-01-01,81575
