DATE,PPAACA06000A156NCEN
1989-01-01,12.7
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,17.4
1994-01-01,.
1995-01-01,16.5
1996-01-01,16.7
1997-01-01,16.0
1998-01-01,14.9
1999-01-01,13.7
2000-01-01,12.7
2001-01-01,12.9
2002-01-01,13.3
2003-01-01,13.7
2004-01-01,13.2
2005-01-01,13.3
2006-01-01,13.1
2007-01-01,12.4
2008-01-01,13.3
2009-01-01,14.2
2010-01-01,15.8
2011-01-01,16.6
2012-01-01,17.0
2013-01-01,16.8
2014-01-01,16.4
2015-01-01,15.4
2016-01-01,14.4
2017-01-01,13.3
2018-01-01,12.8
2019-01-01,11.8
2020-01-01,11.5
2021-01-01,12.3
