DATE,CARQGSP
2005-01-01,1926842.075000000000
2006-01-01,2002437.425000000000
2007-01-01,2041192.175000000000
2008-01-01,2061638.775000000000
2009-01-01,1995439.675000000000
2010-01-01,2036015.050000000000
2011-01-01,2063827.500000000000
2012-01-01,2113096.450000000000
2013-01-01,2179228.975000000000
2014-01-01,2256054.725000000000
2015-01-01,2357452.925000000000
2016-01-01,2427894.575000000000
2017-01-01,2538204.050000000000
2018-01-01,2644061.175000000000
2019-01-01,2729225.825000000000
2020-01-01,2667220.925000000000
2021-01-01,2874730.800000000000
2022-01-01,2885627.325000000000
2023-01-01,.
