DATE,BRCA06M647NCEN
1981-01-01,1619473.250000000000
1982-01-01,1681049.916666666667
1983-01-01,1784323.500000000000
1984-01-01,1647998.083333333333
1985-01-01,1613099.916666666667
1986-01-01,1629150.000000000000
1987-01-01,1630587.166666666667
1988-01-01,1690491.000000000000
1989-01-01,1813254.166666666667
1990-01-01,1986976.166666666667
1991-01-01,2300989.500000000000
1992-01-01,2622444.333333333333
1993-01-01,2951449.750000000000
1994-01-01,3147999.250000000000
1995-01-01,3186375.000000000000
1996-01-01,3085164.083333333333
1997-01-01,2673251.500000000000
1998-01-01,2178820.583333333333
1999-01-01,1980579.500000000000
2000-01-01,1782805.833333333333
2001-01-01,1663457.666666666667
2002-01-01,1698661.583333333333
2003-01-01,1733396.833333333333
2004-01-01,1909567.250000000000
2005-01-01,1999161.583333333333
2006-01-01,2005421.916666666667
2007-01-01,2074381.416666666667
2008-01-01,2300892.916666666667
2009-01-01,2823025.916666666667
2010-01-01,3357445.666666666667
2011-01-01,3760865.583333333333
2012-01-01,4022281.166666666667
2013-01-01,4197569.250000000000
2014-01-01,4384201.500000000000
2015-01-01,4422455.750000000000
2016-01-01,4288125.916666666667
2017-01-01,4065284.833333333333
2018-01-01,3891812.083333333333
2019-01-01,3848877.000000000000
2020-01-01,4371406.000000000000
2021-01-01,.
