DATE,MEHOINUSCOA672N
1984-01-01,64261
1985-01-01,67861
1986-01-01,64351
1987-01-01,60573
1988-01-01,57883
1989-01-01,56710
1990-01-01,61963
1991-01-01,61278
1992-01-01,61661
1993-01-01,63855
1994-01-01,68615
1995-01-01,72089
1996-01-01,70640
1997-01-01,73000
1998-01-01,77633
1999-01-01,78588
2000-01-01,76108
2001-01-01,75776
2002-01-01,72935
2003-01-01,73746
2004-01-01,73166
2005-01-01,70161
2006-01-01,75027
2007-01-01,80089
2008-01-01,76877
2009-01-01,70800
2010-01-01,75009
2011-01-01,70781
2012-01-01,67688
2013-01-01,79115
2014-01-01,69811
2015-01-01,76159
2016-01-01,79671
2017-01-01,82877
2018-01-01,78801
2019-01-01,76832
2020-01-01,87689
2021-01-01,84954
