DATE,CORQGSP
2005-01-01,251558.425000000000
2006-01-01,257430.175000000000
2007-01-01,266887.475000000000
2008-01-01,270981.400000000000
2009-01-01,264966.275000000000
2010-01-01,267858.900000000000
2011-01-01,271700.650000000000
2012-01-01,276823.150000000000
2013-01-01,286259.075000000000
2014-01-01,298655.250000000000
2015-01-01,312409.650000000000
2016-01-01,318953.350000000000
2017-01-01,329913.275000000000
2018-01-01,342733.150000000000
2019-01-01,358438.475000000000
2020-01-01,353345.175000000000
2021-01-01,373763.325000000000
2022-01-01,385834.850000000000
2023-01-01,.
