DATE,BRCO08M647NCEN
1981-01-01,172627.500000000000
1982-01-01,171074.250000000000
1983-01-01,189337.166666666667
1984-01-01,177508.916666666667
1985-01-01,171059.500000000000
1986-01-01,183771.083333333333
1987-01-01,197247.333333333333
1988-01-01,206468.750000000000
1989-01-01,212501.666666666667
1990-01-01,226673.333333333333
1991-01-01,245118.750000000000
1992-01-01,264484.416666666667
1993-01-01,272943.333333333333
1994-01-01,265136.166666666667
1995-01-01,247894.333333333333
1996-01-01,240771.750000000000
1997-01-01,208893.833333333333
1998-01-01,186290.000000000000
1999-01-01,168205.416666666667
2000-01-01,153268.083333333333
2001-01-01,158617.833333333333
2002-01-01,184631.000000000000
2003-01-01,217686.416666666667
2004-01-01,244287.416666666667
2005-01-01,248504.250000000000
2006-01-01,254650.166666666667
2007-01-01,249264.583333333333
2008-01-01,261437.583333333333
2009-01-01,344095.166666666667
2010-01-01,418300.750000000000
2011-01-01,465191.750000000000
2012-01-01,497317.416666666667
2013-01-01,507566.166666666667
2014-01-01,504425.916666666667
2015-01-01,489905.500000000000
2016-01-01,472022.666666666667
2017-01-01,455335.916666666667
2018-01-01,452202.250000000000
2019-01-01,445009.083333333333
2020-01-01,497120.583333333333
2021-01-01,.
