DATE,MEHOINUSCTA672N
1984-01-01,74597
1985-01-01,74864
1986-01-01,77436
1987-01-01,75183
1988-01-01,79961
1989-01-01,89534
1990-01-01,78369
1991-01-01,82006
1992-01-01,77524
1993-01-01,73164
1994-01-01,74535
1995-01-01,71269
1996-01-01,72657
1997-01-01,74270
1998-01-01,77481
1999-01-01,82529
2000-01-01,79156
2001-01-01,81836
2002-01-01,80626
2003-01-01,81166
2004-01-01,79225
2005-01-01,79042
2006-01-01,84062
2007-01-01,84019
2008-01-01,81594
2009-01-01,82092
2010-01-01,82189
2011-01-01,78973
2012-01-01,75954
2013-01-01,80721
2014-01-01,80374
2015-01-01,83355
2016-01-01,85720
2017-01-01,82125
2018-01-01,78561
2019-01-01,92507
2020-01-01,83141
2021-01-01,80958
