DATE,CTRQGSP
2005-01-01,238549.550000000000
2006-01-01,248233.825000000000
2007-01-01,257953.025000000000
2008-01-01,257755.975000000000
2009-01-01,244894.775000000000
2010-01-01,244354.725000000000
2011-01-01,238542.400000000000
2012-01-01,240911.900000000000
2013-01-01,236050.650000000000
2014-01-01,235780.925000000000
2015-01-01,242706.550000000000
2016-01-01,243286.675000000000
2017-01-01,247035.900000000000
2018-01-01,249074.750000000000
2019-01-01,251568.225000000000
2020-01-01,235234.900000000000
2021-01-01,246555.850000000000
2022-01-01,252533.275000000000
2023-01-01,.
