DATE,BRCT09M647NCEN
1981-01-01,174173.250000000000
1982-01-01,165854.333333333333
1983-01-01,167275.833333333333
1984-01-01,153860.750000000000
1985-01-01,141583.583333333333
1986-01-01,127031.666666666667
1987-01-01,113163.916666666667
1988-01-01,108469.833333333333
1989-01-01,117053.833333333333
1990-01-01,141577.500000000000
1991-01-01,181611.750000000000
1992-01-01,206409.083333333333
1993-01-01,217436.750000000000
1994-01-01,223716.083333333333
1995-01-01,225843.833333333333
1996-01-01,220658.416666666667
1997-01-01,206234.000000000000
1998-01-01,191479.166666666667
1999-01-01,174069.583333333333
2000-01-01,162203.000000000000
2001-01-01,158231.250000000000
2002-01-01,172036.583333333333
2003-01-01,184524.083333333333
2004-01-01,198703.416666666667
2005-01-01,205916.250000000000
2006-01-01,210916.500000000000
2007-01-01,214819.833333333333
2008-01-01,230358.083333333333
2009-01-01,276179.583333333333
2010-01-01,350411.833333333333
2011-01-01,386327.083333333333
2012-01-01,408307.000000000000
2013-01-01,429556.500000000000
2014-01-01,441378.333333333333
2015-01-01,440430.500000000000
2016-01-01,427123.250000000000
2017-01-01,404902.750000000000
2018-01-01,380251.916666666667
2019-01-01,365170.250000000000
2020-01-01,372516.916666666667
2021-01-01,.
