DATE,PPAADC11000A156NCEN
1989-01-01,15.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,20.4
1994-01-01,.
1995-01-01,20.8
1996-01-01,21.9
1997-01-01,19.3
1998-01-01,18.2
1999-01-01,17.3
2000-01-01,16.3
2001-01-01,17.5
2002-01-01,17.2
2003-01-01,17.5
2004-01-01,18.3
2005-01-01,18.3
2006-01-01,18.1
2007-01-01,17.1
2008-01-01,16.9
2009-01-01,17.6
2010-01-01,18.8
2011-01-01,19.1
2012-01-01,18.8
2013-01-01,18.8
2014-01-01,18.4
2015-01-01,17.7
2016-01-01,18.5
2017-01-01,16.6
2018-01-01,16.1
2019-01-01,14.1
2020-01-01,15.0
2021-01-01,16.8
