DATE,DCRQGSP
2005-01-01,99480.725000000000
2006-01-01,99805.525000000000
2007-01-01,102738.650000000000
2008-01-01,106768.875000000000
2009-01-01,105893.900000000000
2010-01-01,109986.550000000000
2011-01-01,111646.475000000000
2012-01-01,112157.000000000000
2013-01-01,112332.450000000000
2014-01-01,114553.550000000000
2015-01-01,116808.350000000000
2016-01-01,119644.275000000000
2017-01-01,120759.325000000000
2018-01-01,123680.475000000000
2019-01-01,124597.225000000000
2020-01-01,122485.250000000000
2021-01-01,126982.975000000000
2022-01-01,129268.175000000000
2023-01-01,.
