DATE,BRDC11M647NCEN
1981-01-01,99770.083333333333
1982-01-01,89332.250000000000
1983-01-01,83304.166666666667
1984-01-01,76761.083333333333
1985-01-01,71471.916666666667
1986-01-01,66851.833333333333
1987-01-01,59627.000000000000
1988-01-01,59094.666666666667
1989-01-01,58637.500000000000
1990-01-01,63723.750000000000
1991-01-01,75588.916666666667
1992-01-01,83300.000000000000
1993-01-01,87812.333333333333
1994-01-01,92025.416666666667
1995-01-01,93495.583333333333
1996-01-01,92658.083333333333
1997-01-01,89127.416666666667
1998-01-01,84573.416666666667
1999-01-01,83831.416666666667
2000-01-01,78651.500000000000
2001-01-01,73195.583333333333
2002-01-01,75404.750000000000
2003-01-01,83115.666666666667
2004-01-01,86972.833333333333
2005-01-01,89517.583333333333
2006-01-01,88153.166666666667
2007-01-01,86557.583333333333
2008-01-01,92153.500000000000
2009-01-01,106882.250000000000
2010-01-01,122964.583333333333
2011-01-01,137096.250000000000
2012-01-01,142268.000000000000
2013-01-01,144880.666666666667
2014-01-01,142633.833333333333
2015-01-01,140581.000000000000
2016-01-01,131043.666666666667
2017-01-01,121728.083333333333
2018-01-01,109966.000000000000
2019-01-01,108814.500000000000
2020-01-01,123096.083333333333
2021-01-01,.
