DATE,MEHOINUSDEA672N
1984-01-01,64306
1985-01-01,55335
1986-01-01,60645
1987-01-01,66906
1988-01-01,67357
1989-01-01,67843
1990-01-01,62106
1991-01-01,63391
1992-01-01,67724
1993-01-01,66773
1994-01-01,65061
1995-01-01,61857
1996-01-01,67809
1997-01-01,72663
1998-01-01,69068
1999-01-01,76061
2000-01-01,79461
2001-01-01,76091
2002-01-01,74982
2003-01-01,72386
2004-01-01,69087
2005-01-01,71254
2006-01-01,70637
2007-01-01,71507
2008-01-01,63959
2009-01-01,65969
2010-01-01,68759
2011-01-01,65989
2012-01-01,57896
2013-01-01,63014
2014-01-01,65895
2015-01-01,66049
2016-01-01,65536
2017-01-01,71799
2018-01-01,70145
2019-01-01,78628
2020-01-01,73292
2021-01-01,68687
