DATE,PPAADE10000A156NCEN
1989-01-01,9.4
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,11.1
1994-01-01,.
1995-01-01,9.7
1996-01-01,9.8
1997-01-01,10.0
1998-01-01,9.7
1999-01-01,9.4
2000-01-01,8.7
2001-01-01,8.4
2002-01-01,9.3
2003-01-01,9.0
2004-01-01,9.6
2005-01-01,10.3
2006-01-01,10.7
2007-01-01,10.3
2008-01-01,10.3
2009-01-01,11.2
2010-01-01,11.9
2011-01-01,12.6
2012-01-01,12.7
2013-01-01,12.9
2014-01-01,13.0
2015-01-01,12.6
2016-01-01,11.8
2017-01-01,13
2018-01-01,12.2
2019-01-01,11.2
2020-01-01,10.9
2021-01-01,11.5
