DATE,BRDE10M647NCEN
1981-01-01,54483.916666666667
1982-01-01,51413.500000000000
1983-01-01,49670.250000000000
1984-01-01,43839.416666666667
1985-01-01,38252.000000000000
1986-01-01,31659.333333333333
1987-01-01,28835.250000000000
1988-01-01,29147.333333333333
1989-01-01,30200.083333333333
1990-01-01,34695.416666666667
1991-01-01,43446.500000000000
1992-01-01,53047.666666666667
1993-01-01,58583.333333333333
1994-01-01,58911.916666666667
1995-01-01,56534.916666666667
1996-01-01,58413.833333333333
1997-01-01,51155.000000000000
1998-01-01,44179.500000000000
1999-01-01,36661.666666666667
2000-01-01,31309.250000000000
2001-01-01,33409.750000000000
2002-01-01,41337.583333333333
2003-01-01,47729.000000000000
2004-01-01,57771.416666666667
2005-01-01,62984.916666666667
2006-01-01,65723.666666666667
2007-01-01,68576.833333333333
2008-01-01,77258.583333333333
2009-01-01,96525.333333333333
2010-01-01,118652.666666666667
2011-01-01,139254.916666666667
2012-01-01,149668.166666666667
2013-01-01,153314.166666666667
2014-01-01,149865.750000000000
2015-01-01,148876.833333333333
2016-01-01,148028.666666666667
2017-01-01,145548.833333333333
2018-01-01,138033.666666666667
2019-01-01,125776.666666666667
2020-01-01,120600.916666666667
2021-01-01,.
