DATE,MEHOINUSFLA672N
1984-01-01,49277
1985-01-01,51393
1986-01-01,54073
1987-01-01,56027
1988-01-01,56098
1989-01-01,55185
1990-01-01,53801
1991-01-01,53016
1992-01-01,51914
1993-01-01,52861
1994-01-01,53129
1995-01-01,52678
1996-01-01,52857
1997-01-01,54801
1998-01-01,58157
1999-01-01,58449
2000-01-01,61303
2001-01-01,55871
2002-01-01,57425
2003-01-01,57549
2004-01-01,58283
2005-01-01,59787
2006-01-01,61528
2007-01-01,59986
2008-01-01,56585
2009-01-01,57763
2010-01-01,54876
2011-01-01,54454
2012-01-01,54466
2013-01-01,56538
2014-01-01,52856
2015-01-01,55836
2016-01-01,57779
2017-01-01,58674
2018-01-01,58959
2019-01-01,61856
2020-01-01,60460
2021-01-01,59734
