DATE,PPAAFL12000A156NCEN
1989-01-01,12.9
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,16.0
1994-01-01,.
1995-01-01,15.2
1996-01-01,14.2
1997-01-01,14.4
1998-01-01,13.6
1999-01-01,12.4
2000-01-01,11.7
2001-01-01,12.6
2002-01-01,12.8
2003-01-01,13.0
2004-01-01,11.9
2005-01-01,12.8
2006-01-01,12.6
2007-01-01,12.1
2008-01-01,13.3
2009-01-01,15.0
2010-01-01,16.5
2011-01-01,17.0
2012-01-01,17.2
2013-01-01,17.1
2014-01-01,16.6
2015-01-01,15.8
2016-01-01,14.8
2017-01-01,14.1
2018-01-01,13.7
2019-01-01,12.7
2020-01-01,12.4
2021-01-01,13.2
