DATE,FLRQGSP
2005-01-01,815755.750000000000
2006-01-01,839963.750000000000
2007-01-01,850048.625000000000
2008-01-01,816070.200000000000
2009-01-01,769061.125000000000
2010-01-01,775039.450000000000
2011-01-01,772021.300000000000
2012-01-01,778545.050000000000
2013-01-01,794842.150000000000
2014-01-01,817233.550000000000
2015-01-01,852242.400000000000
2016-01-01,881539.225000000000
2017-01-01,912687.375000000000
2018-01-01,941626.700000000000
2019-01-01,965672.475000000000
2020-01-01,950164.400000000000
2021-01-01,1029575.625000000000
2022-01-01,1070930.175000000000
2023-01-01,.
