DATE,BRFL12M647NCEN
1981-01-01,926106.416666666667
1982-01-01,856051.250000000000
1983-01-01,789541.500000000000
1984-01-01,671026.083333333333
1985-01-01,624395.833333333333
1986-01-01,600705.000000000000
1987-01-01,610115.916666666667
1988-01-01,630279.666666666667
1989-01-01,687782.916666666667
1990-01-01,827087.000000000000
1991-01-01,1123540.750000000000
1992-01-01,1457698.916666666667
1993-01-01,1496076.833333333333
1994-01-01,1456932.250000000000
1995-01-01,1387483.916666666667
1996-01-01,1348457.750000000000
1997-01-01,1132826.333333333333
1998-01-01,964450.333333333333
1999-01-01,920644.916666666667
2000-01-01,876052.166666666667
2001-01-01,909955.250000000000
2002-01-01,1009808.750000000000
2003-01-01,1062418.166666666667
2004-01-01,1242364.833333333333
2005-01-01,1276824.750000000000
2006-01-01,1224388.666666666667
2007-01-01,1266900.250000000000
2008-01-01,1547207.583333333333
2009-01-01,2129033.083333333333
2010-01-01,2743684.250000000000
2011-01-01,3140932.333333333333
2012-01-01,3423192.500000000000
2013-01-01,3556331.583333333333
2014-01-01,3563553.166666666667
2015-01-01,3659116.666666666667
2016-01-01,3347237.916666666667
2017-01-01,3134438.416666666667
2018-01-01,2986326.750000000000
2019-01-01,2780203.916666666667
2020-01-01,3374667.083333333333
2021-01-01,.
