DATE,GARQGSP
2005-01-01,447152.875000000000
2006-01-01,453032.100000000000
2007-01-01,455903.975000000000
2008-01-01,445764.625000000000
2009-01-01,428740.675000000000
2010-01-01,433727.200000000000
2011-01-01,441626.725000000000
2012-01-01,447764.700000000000
2013-01-01,454908.950000000000
2014-01-01,470009.750000000000
2015-01-01,489182.350000000000
2016-01-01,506816.175000000000
2017-01-01,523805.325000000000
2018-01-01,538604.575000000000
2019-01-01,557364.425000000000
2020-01-01,537615.775000000000
2021-01-01,575292.150000000000
2022-01-01,591257.300000000000
2023-01-01,.
