DATE,MEHOINUSGAA672N
1984-01-01,49773
1985-01-01,50685
1986-01-01,57673
1987-01-01,61117
1988-01-01,58660
1989-01-01,58268
1990-01-01,55568
1991-01-01,52938
1992-01-01,54662
1993-01-01,58624
1994-01-01,57070
1995-01-01,60388
1996-01-01,56057
1997-01-01,61907
1998-01-01,64415
1999-01-01,64311
2000-01-01,66107
2001-01-01,65313
2002-01-01,64847
2003-01-01,62668
2004-01-01,58928
2005-01-01,63871
2006-01-01,66469
2007-01-01,63716
2008-01-01,58314
2009-01-01,54862
2010-01-01,54940
2011-01-01,55501
2012-01-01,56890
2013-01-01,54744
2014-01-01,56768
2015-01-01,58058
2016-01-01,60434
2017-01-01,64089
2018-01-01,60229
2019-01-01,60012
2020-01-01,62033
2021-01-01,61497
