DATE,PPAAGA13000A156NCEN
1989-01-01,14.9
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,16.8
1994-01-01,.
1995-01-01,15.6
1996-01-01,15.3
1997-01-01,14.7
1998-01-01,14.1
1999-01-01,12.7
2000-01-01,12.3
2001-01-01,12.7
2002-01-01,13.0
2003-01-01,13.4
2004-01-01,13.7
2005-01-01,14.5
2006-01-01,14.8
2007-01-01,14.3
2008-01-01,14.7
2009-01-01,16.6
2010-01-01,18.0
2011-01-01,19.2
2012-01-01,19.2
2013-01-01,19.0
2014-01-01,18.4
2015-01-01,17.2
2016-01-01,16.1
2017-01-01,15.1
2018-01-01,14.5
2019-01-01,13.5
2020-01-01,14.0
2021-01-01,14.2
